PairNumber ParticipantNumber BlockNumber TrialNumber ExperimentalCondition PartPerformed ToneSequence JointAgencyRatings MeanSynchronizationPerformance SDSynchronizationPerformance
20 201 1 1 0 1 5 3 0.23261 0.12865
20 201 1 2 0 1 5 4 0.34594 0.21611
20 201 1 3 0 1 5 2 0.1715 0.11223
20 201 1 4 0 1 5 6 0.12349 0.076979
20 201 1 5 0 1 5 5 0.10882 0.08564
20 201 2 6 1 0 1 5 0.24531 0.171
20 201 2 7 1 0 1 4 0.15624 0.11963
20 201 2 8 1 0 1 3 0.23942 0.13362
20 201 2 9 1 0 1 4 0.25727 0.12161
20 201 2 10 1 0 1 3 0.42816 0.26995
20 201 3 11 0 0 6 4 0.2526 0.10479
20 201 3 12 0 0 6 3 0.5422 0.15216
20 201 3 13 0 0 6 3 0.29279 0.21307
20 201 3 14 0 0 6 4 0.19506 0.11941
20 201 3 15 0 0 6 3 0.44726 0.20633
20 201 4 16 1 1 2 3 0.21113 0.12232
20 201 4 17 1 1 2 3 0.24029 0.15654
20 201 4 18 1 1 2 4 0.22025 0.17811
20 201 4 19 1 1 2 4 0.17727 0.12291
20 201 4 20 1 1 2 4 0.12454 0.088131
20 201 5 21 0 1 8 2 0.30533 0.16007
20 201 5 22 0 1 8 3 0.12229 0.096416
20 201 5 23 0 1 8 3 0.12168 0.10061
20 201 5 24 0 1 8 2 0.10768 0.093685
20 201 5 25 0 1 8 3 0.18194 0.14261
20 201 6 26 1 0 4 3 0.73643 0.29611
20 201 6 27 1 0 4 5 0.14877 0.12925
20 201 6 28 1 0 4 5 0.13077 0.16458
20 201 6 29 1 0 4 4 0.5127 0.36853
20 201 6 30 1 0 4 4 0.98594 0.51594
20 201 7 31 0 0 7 4 0.17751 0.1316
20 201 7 32 0 0 7 4 0.1636 0.10181
20 201 7 33 0 0 7 4 0.24867 0.15311
20 201 7 34 0 0 7 4 0.37696 0.25051
20 201 7 35 0 0 7 4 0.2219 0.099505
20 201 8 36 1 1 3 5 0.18434 0.14898
20 201 8 37 1 1 3 3 0.25509 0.20561
20 201 8 38 1 1 3 4 0.20103 0.15491
20 201 8 39 1 1 3 3 0.21862 0.17739
20 201 8 40 1 1 3 5 0.16681 0.10503
20 202 1 1 0 0 5 4 0.23261 0.12865
20 202 1 2 0 0 5 3 0.34594 0.21611
20 202 1 3 0 0 5 3 0.1715 0.11223
20 202 1 4 0 0 5 6 0.12349 0.076979
20 202 1 5 0 0 5 6 0.10882 0.08564
20 202 2 6 1 1 1 5 0.24531 0.171
20 202 2 7 1 1 1 4 0.15624 0.11963
20 202 2 8 1 1 1 6 0.23942 0.13362
20 202 2 9 1 1 1 5 0.25727 0.12161
20 202 2 10 1 1 1 3 0.42816 0.26995
20 202 3 11 0 1 6 3 0.2526 0.10479
20 202 3 12 0 1 6 3 0.5422 0.15216
20 202 3 13 0 1 6 4 0.29279 0.21307
20 202 3 14 0 1 6 5 0.19506 0.11941
20 202 3 15 0 1 6 3 0.44726 0.20633
20 202 4 16 1 0 2 3 0.21113 0.12232
20 202 4 17 1 0 2 4 0.24029 0.15654
20 202 4 18 1 0 2 4 0.22025 0.17811
20 202 4 19 1 0 2 5 0.17727 0.12291
20 202 4 20 1 0 2 6 0.12454 0.088131
20 202 5 21 0 0 8 1 0.30533 0.16007
20 202 5 22 0 0 8 2 0.12229 0.096416
20 202 5 23 0 0 8 3 0.12168 0.10061
20 202 5 24 0 0 8 3 0.10768 0.093685
20 202 5 25 0 0 8 3 0.18194 0.14261
20 202 6 26 1 1 4 2 0.73643 0.29611
20 202 6 27 1 1 4 3 0.14877 0.12925
20 202 6 28 1 1 4 5 0.13077 0.16458
20 202 6 29 1 1 4 2 0.5127 0.36853
20 202 6 30 1 1 4 1 0.98594 0.51594
20 202 7 31 0 1 7 3 0.17751 0.1316
20 202 7 32 0 1 7 4 0.1636 0.10181
20 202 7 33 0 1 7 2 0.24867 0.15311
20 202 7 34 0 1 7 3 0.37696 0.25051
20 202 7 35 0 1 7 4 0.2219 0.099505
20 202 8 36 1 0 3 4 0.18434 0.14898
20 202 8 37 1 0 3 3 0.25509 0.20561
20 202 8 38 1 0 3 2 0.20103 0.15491
20 202 8 39 1 0 3 3 0.21862 0.17739
20 202 8 40 1 0 3 2 0.16681 0.10503
