PairNumber ParticipantNumber BlockNumber TrialNumber ExperimentalCondition PartPerformed ToneSequence JointAgencyRatings MeanSynchronizationPerformance SDSynchronizationPerformance
5 51 1 1 1 0 2 5 0.23157 0.10661
5 51 1 2 1 0 2 6 0.17778 0.10875
5 51 1 3 1 0 2 3 0.25493 0.14319
5 51 1 4 1 0 2 5 0.17035 0.10413
5 51 1 5 1 0 2 4 0.23298 0.20941
5 51 2 6 0 1 6 4 0.32432 0.13775
5 51 2 7 0 1 6 3 0.49363 0.13004
5 51 2 8 0 1 6 5 0.29496 0.14245
5 51 2 9 0 1 6 4 0.45101 0.29054
5 51 2 10 0 1 6 6 0.18617 0.099419
5 51 3 11 1 1 3 2 0.53348 0.19982
5 51 3 12 1 1 3 3 0.49865 0.21297
5 51 3 13 1 1 3 4 0.38487 0.20081
5 51 3 14 1 1 3 3 0.45431 0.1676
5 51 3 15 1 1 3 5 0.2021 0.1341
5 51 4 16 0 0 7 5 0.18948 0.10089
5 51 4 17 0 0 7 4 0.24054 0.1357
5 51 4 18 0 0 7 5 0.16019 0.13885
5 51 4 19 0 0 7 4 0.17632 0.13429
5 51 4 20 0 0 7 5 0.42165 0.28828
5 51 5 21 1 0 1 4 0.24046 0.18894
5 51 5 22 1 0 1 4 0.17119 0.14056
5 51 5 23 1 0 1 4 0.22424 0.2113
5 51 5 24 1 0 1 3 0.42341 0.18591
5 51 5 25 1 0 1 4 0.46349 0.21626
5 51 6 26 0 1 5 3 0.2946 0.13934
5 51 6 27 0 1 5 4 0.28618 0.20815
5 51 6 28 0 1 5 3 0.40414 0.23757
5 51 6 29 0 1 5 5 0.2649 0.21334
5 51 6 30 0 1 5 3 0.52558 0.19019
5 51 7 31 1 1 4 3 0.34702 0.20612
5 51 7 32 1 1 4 2 0.52395 0.13461
5 51 7 33 1 1 4 3 0.36159 0.22614
5 51 7 34 1 1 4 4 0.18728 0.1212
5 51 7 35 1 1 4 3 0.29042 0.21839
5 51 8 36 0 0 8 4 0.1326 0.073497
5 51 8 37 0 0 8 3 0.32296 0.27659
5 51 8 38 0 0 8 3 0.26919 0.21677
5 51 8 39 0 0 8 2 0.57202 0.33503
5 51 8 40 0 0 8 3 0.65716 0.39953
5 52 1 1 1 1 2 6 0.23157 0.10661
5 52 1 2 1 1 2 5 0.17778 0.10875
5 52 1 3 1 1 2 5 0.25493 0.14319
5 52 1 4 1 1 2 6 0.17035 0.10413
5 52 1 5 1 1 2 7 0.23298 0.20941
5 52 2 6 0 0 6 6 0.32432 0.13775
5 52 2 7 0 0 6 6 0.49363 0.13004
5 52 2 8 0 0 6 7 0.29496 0.14245
5 52 2 9 0 0 6 3 0.45101 0.29054
5 52 2 10 0 0 6 7 0.18617 0.099419
5 52 3 11 1 0 3 5 0.53348 0.19982
5 52 3 12 1 0 3 6 0.49865 0.21297
5 52 3 13 1 0 3 5 0.38487 0.20081
5 52 3 14 1 0 3 5 0.45431 0.1676
5 52 3 15 1 0 3 7 0.2021 0.1341
5 52 4 16 0 1 7 5 0.18948 0.10089
5 52 4 17 0 1 7 5 0.24054 0.1357
5 52 4 18 0 1 7 5 0.16019 0.13885
5 52 4 19 0 1 7 6 0.17632 0.13429
5 52 4 20 0 1 7 4 0.42165 0.28828
5 52 5 21 1 1 1 6 0.24046 0.18894
5 52 5 22 1 1 1 7 0.17119 0.14056
5 52 5 23 1 1 1 5 0.22424 0.2113
5 52 5 24 1 1 1 4 0.42341 0.18591
5 52 5 25 1 1 1 6 0.46349 0.21626
5 52 6 26 0 0 5 6 0.2946 0.13934
5 52 6 27 0 0 5 6 0.28618 0.20815
5 52 6 28 0 0 5 5 0.40414 0.23757
5 52 6 29 0 0 5 5 0.2649 0.21334
5 52 6 30 0 0 5 6 0.52558 0.19019
5 52 7 31 1 0 4 4 0.34702 0.20612
5 52 7 32 1 0 4 5 0.52395 0.13461
5 52 7 33 1 0 4 5 0.36159 0.22614
5 52 7 34 1 0 4 6 0.18728 0.1212
5 52 7 35 1 0 4 5 0.29042 0.21839
5 52 8 36 0 1 8 5 0.1326 0.073497
5 52 8 37 0 1 8 4 0.32296 0.27659
5 52 8 38 0 1 8 5 0.26919 0.21677
5 52 8 39 0 1 8 3 0.57202 0.33503
5 52 8 40 0 1 8 5 0.65716 0.39953
