PairNumber ParticipantNumber BlockNumber TrialNumber ExperimentalCondition PartPerformed ToneSequence JointAgencyRatings MeanSynchronizationPerformance SDSynchronizationPerformance
30 301 1 1 1 1 4 2 0.41874 0.41215
30 301 1 2 1 1 4 3 0.68615 0.26142
30 301 1 3 1 1 4 4 0.23314 0.19566
30 301 1 4 1 1 4 4 0.26141 0.21143
30 301 1 5 1 1 4 5 0.50884 0.29968
30 301 2 6 0 0 8 4 0.73759 0.20493
30 301 2 7 0 0 8 3 0.9157 0.2221
30 301 2 8 0 0 8 5 0.90377 0.3547
30 301 2 9 0 0 8 5 0.25585 0.1488
30 301 2 10 0 0 8 4 1.1082 0.65111
30 301 3 11 1 0 1 3 0.6552 0.1638
30 301 3 12 1 0 1 4 0.34328 0.39387
30 301 3 13 1 0 1 4 0.19865 0.15831
30 301 3 14 1 0 1 3 0.78417 0.68386
30 301 3 15 1 0 1 4 0.16651 0.12384
30 301 4 16 0 1 5 3 0.43111 0.25809
30 301 4 17 0 1 5 4 0.61294 0.45078
30 301 4 18 0 1 5 4 0.14227 0.092603
30 301 4 19 0 1 5 6 0.57106 0.14348
30 301 4 20 0 1 5 6 0.12514 0.08679
30 301 5 21 1 1 3 2 1.0691 0.22714
30 301 5 22 1 1 3 4 0.23296 0.1455
30 301 5 23 1 1 3 3 0.34922 0.28905
30 301 5 24 1 1 3 4 0.82149 0.37888
30 301 5 25 1 1 3 5 0.21688 0.19548
30 301 6 26 0 0 7 3 0.59819 0.362
30 301 6 27 0 0 7 4 0.28073 0.2378
30 301 6 28 0 0 7 3 1.0302 0.69006
30 301 6 29 0 0 7 4 0.64688 0.28003
30 301 6 30 0 0 7 4 0.44634 0.12322
30 301 7 31 1 0 2 4 0.45823 0.16774
30 301 7 32 1 0 2 5 0.37076 0.28204
30 301 7 33 1 0 2 4 0.35034 0.25686
30 301 7 34 1 0 2 5 0.24162 0.096042
30 301 7 35 1 0 2 5 0.70311 0.22296
30 301 8 36 0 1 6 5 1.0974 0.23647
30 301 8 37 0 1 6 5 0.46354 0.20431
30 301 8 38 0 1 6 4 1.0741 0.49976
30 301 8 39 0 1 6 5 0.8898 0.34913
30 301 8 40 0 1 6 5 0.25044 0.14261
30 302 1 1 1 0 4 5 0.41874 0.41215
30 302 1 2 1 0 4 4 0.68615 0.26142
30 302 1 3 1 0 4 6 0.23314 0.19566
30 302 1 4 1 0 4 6 0.26141 0.21143
30 302 1 5 1 0 4 5 0.50884 0.29968
30 302 2 6 0 1 8 3 0.73759 0.20493
30 302 2 7 0 1 8 5 0.9157 0.2221
30 302 2 8 0 1 8 5 0.90377 0.3547
30 302 2 9 0 1 8 6 0.25585 0.1488
30 302 2 10 0 1 8 2 1.1082 0.65111
30 302 3 11 1 1 1 6 0.6552 0.1638
30 302 3 12 1 1 1 4 0.34328 0.39387
30 302 3 13 1 1 1 6 0.19865 0.15831
30 302 3 14 1 1 1 5 0.78417 0.68386
30 302 3 15 1 1 1 7 0.16651 0.12384
30 302 4 16 0 0 5 4 0.43111 0.25809
30 302 4 17 0 0 5 4 0.61294 0.45078
30 302 4 18 0 0 5 5 0.14227 0.092603
30 302 4 19 0 0 5 5 0.57106 0.14348
30 302 4 20 0 0 5 6 0.12514 0.08679
30 302 5 21 1 0 3 5 1.0691 0.22714
30 302 5 22 1 0 3 5 0.23296 0.1455
30 302 5 23 1 0 3 5 0.34922 0.28905
30 302 5 24 1 0 3 6 0.82149 0.37888
30 302 5 25 1 0 3 6 0.21688 0.19548
30 302 6 26 0 1 7 5 0.59819 0.362
30 302 6 27 0 1 7 5 0.28073 0.2378
30 302 6 28 0 1 7 3 1.0302 0.69006
30 302 6 29 0 1 7 5 0.64688 0.28003
30 302 6 30 0 1 7 5 0.44634 0.12322
30 302 7 31 1 1 2 5 0.45823 0.16774
30 302 7 32 1 1 2 4 0.37076 0.28204
30 302 7 33 1 1 2 6 0.35034 0.25686
30 302 7 34 1 1 2 6 0.24162 0.096042
30 302 7 35 1 1 2 5 0.70311 0.22296
30 302 8 36 0 0 6 6 1.0974 0.23647
30 302 8 37 0 0 6 5 0.46354 0.20431
30 302 8 38 0 0 6 5 1.0741 0.49976
30 302 8 39 0 0 6 3 0.8898 0.34913
30 302 8 40 0 0 6 6 0.25044 0.14261
