PairNumber ParticipantNumber BlockNumber TrialNumber ExperimentalCondition PartPerformed ToneSequence JointAgencyRatings MeanSynchronizationPerformance SDSynchronizationPerformance
16 161 1 1 0 1 8 3 0.16948 0.1319
16 161 1 2 0 1 8 5 0.13921 0.11923
16 161 1 3 0 1 8 6 0.14142 0.11534
16 161 1 4 0 1 8 6 0.10088 0.068237
16 161 1 5 0 1 8 5 0.17059 0.12182
16 161 2 6 1 0 4 2 0.6909 0.58152
16 161 2 7 1 0 4 3 0.34718 0.26295
16 161 2 8 1 0 4 5 0.31561 0.16588
16 161 2 9 1 0 4 5 0.267 0.13157
16 161 2 10 1 0 4 5 0.19428 0.10408
16 161 3 11 0 0 5 6 0.10719 0.033789
16 161 3 12 0 0 5 5 0.19007 0.13005
16 161 3 13 0 0 5 5 0.13483 0.068613
16 161 3 14 0 0 5 3 0.19905 0.18271
16 161 3 15 0 0 5 6 0.11313 0.053722
16 161 4 16 1 1 1 5 0.20437 0.076223
16 161 4 17 1 1 1 7 0.10365 0.066389
16 161 4 18 1 1 1 6 0.11248 0.085889
16 161 4 19 1 1 1 5 0.15378 0.1497
16 161 4 20 1 1 1 7 0.084978 0.079803
16 161 5 21 0 1 7 6 0.11738 0.09083
16 161 5 22 0 1 7 6 0.098811 0.061761
16 161 5 23 0 1 7 6 0.076229 0.05911
16 161 5 24 0 1 7 5 0.088938 0.065514
16 161 5 25 0 1 7 6 0.18091 0.14693
16 161 6 26 1 0 3 5 0.15726 0.13333
16 161 6 27 1 0 3 5 0.14667 0.15186
16 161 6 28 1 0 3 6 0.15815 0.14617
16 161 6 29 1 0 3 6 0.14254 0.081541
16 161 6 30 1 0 3 6 0.14479 0.087072
16 161 7 31 0 0 6 6 0.16298 0.12618
16 161 7 32 0 0 6 7 0.066992 0.048322
16 161 7 33 0 0 6 6 0.1901 0.098838
16 161 7 34 0 0 6 7 0.08638 0.076728
16 161 7 35 0 0 6 4 0.42012 0.27324
16 161 8 36 1 1 2 7 0.11445 0.068881
16 161 8 37 1 1 2 7 0.12748 0.075373
16 161 8 38 1 1 2 7 0.10539 0.08012
16 161 8 39 1 1 2 6 0.10343 0.097015
16 161 8 40 1 1 2 5 0.17241 0.15235
16 162 1 1 0 0 8 3 0.16948 0.1319
16 162 1 2 0 0 8 4 0.13921 0.11923
16 162 1 3 0 0 8 4 0.14142 0.11534
16 162 1 4 0 0 8 4 0.10088 0.068237
16 162 1 5 0 0 8 5 0.17059 0.12182
16 162 2 6 1 1 4 2 0.6909 0.58152
16 162 2 7 1 1 4 2 0.34718 0.26295
16 162 2 8 1 1 4 3 0.31561 0.16588
16 162 2 9 1 1 4 4 0.267 0.13157
16 162 2 10 1 1 4 5 0.19428 0.10408
16 162 3 11 0 1 5 5 0.10719 0.033789
16 162 3 12 0 1 5 5 0.19007 0.13005
16 162 3 13 0 1 5 5 0.13483 0.068613
16 162 3 14 0 1 5 4 0.19905 0.18271
16 162 3 15 0 1 5 5 0.11313 0.053722
16 162 4 16 1 0 1 6 0.20437 0.076223
16 162 4 17 1 0 1 6 0.10365 0.066389
16 162 4 18 1 0 1 6 0.11248 0.085889
16 162 4 19 1 0 1 5 0.15378 0.1497
16 162 4 20 1 0 1 6 0.084978 0.079803
16 162 5 21 0 0 7 3 0.11738 0.09083
16 162 5 22 0 0 7 4 0.098811 0.061761
16 162 5 23 0 0 7 4 0.076229 0.05911
16 162 5 24 0 0 7 3 0.088938 0.065514
16 162 5 25 0 0 7 3 0.18091 0.14693
16 162 6 26 1 1 3 4 0.15726 0.13333
16 162 6 27 1 1 3 3 0.14667 0.15186
16 162 6 28 1 1 3 4 0.15815 0.14617
16 162 6 29 1 1 3 5 0.14254 0.081541
16 162 6 30 1 1 3 5 0.14479 0.087072
16 162 7 31 0 1 6 4 0.16298 0.12618
16 162 7 32 0 1 6 5 0.066992 0.048322
16 162 7 33 0 1 6 4 0.1901 0.098838
16 162 7 34 0 1 6 6 0.08638 0.076728
16 162 7 35 0 1 6 1 0.42012 0.27324
16 162 8 36 1 0 2 5 0.11445 0.068881
16 162 8 37 1 0 2 5 0.12748 0.075373
16 162 8 38 1 0 2 5 0.10539 0.08012
16 162 8 39 1 0 2 6 0.10343 0.097015
16 162 8 40 1 0 2 5 0.17241 0.15235
