PairNumber ParticipantNumber BlockNumber TrialNumber ExperimentalCondition PartPerformed ToneSequence JointAgencyRatings MeanSynchronizationPerformance SDSynchronizationPerformance
19 191 1 1 0 0 5 4 0.11931 0.11015
19 191 1 2 0 0 5 4 0.23761 0.18343
19 191 1 3 0 0 5 5 0.11416 0.064093
19 191 1 4 0 0 5 2 0.25418 0.22094
19 191 1 5 0 0 5 6 0.1583 0.11871
19 191 2 6 1 1 1 4 0.307 0.20207
19 191 2 7 1 1 1 2 0.48111 0.30171
19 191 2 8 1 1 1 4 0.23214 0.12721
19 191 2 9 1 1 1 3 0.47939 0.30282
19 191 2 10 1 1 1 6 0.25191 0.14663
19 191 3 11 0 1 6 3 0.6281 0.44673
19 191 3 12 0 1 6 4 0.47015 0.30296
19 191 3 13 0 1 6 4 0.37019 0.23309
19 191 3 14 0 1 6 5 0.30339 0.10962
19 191 3 15 0 1 6 3 0.30781 0.16501
19 191 4 16 1 0 2 5 0.12417 0.13549
19 191 4 17 1 0 2 6 0.10324 0.05195
19 191 4 18 1 0 2 3 0.26552 0.16908
19 191 4 19 1 0 2 5 0.17631 0.17076
19 191 4 20 1 0 2 7 0.15672 0.15097
19 191 5 21 0 0 8 4 0.18548 0.12353
19 191 5 22 0 0 8 5 0.5388 0.35783
19 191 5 23 0 0 8 3 0.21478 0.14453
19 191 5 24 0 0 8 6 0.148 0.10706
19 191 5 25 0 0 8 4 0.18443 0.15922
19 191 6 26 1 1 4 2 0.76716 0.37311
19 191 6 27 1 1 4 3 0.26323 0.19737
19 191 6 28 1 1 4 2 0.36892 0.25069
19 191 6 29 1 1 4 2 0.82026 0.75252
19 191 6 30 1 1 4 6 0.24742 0.26573
19 191 7 31 0 1 7 4 0.20532 0.13572
19 191 7 32 0 1 7 2 0.35908 0.14444
19 191 7 33 0 1 7 3 0.68475 0.33213
19 191 7 34 0 1 7 3 0.35525 0.19339
19 191 7 35 0 1 7 2 2.1552 0.94041
19 191 8 36 1 0 3 3 0.15691 0.097821
19 191 8 37 1 0 3 4 0.11199 0.091135
19 191 8 38 1 0 3 4 0.17076 0.15851
19 191 8 39 1 0 3 3 0.20358 0.13837
19 191 8 40 1 0 3 5 0.29551 0.15487
19 192 1 1 0 1 5 5 0.11931 0.11015
19 192 1 2 0 1 5 4 0.23761 0.18343
19 192 1 3 0 1 5 5 0.11416 0.064093
19 192 1 4 0 1 5 3 0.25418 0.22094
19 192 1 5 0 1 5 3 0.1583 0.11871
19 192 2 6 1 0 1 2 0.307 0.20207
19 192 2 7 1 0 1 3 0.48111 0.30171
19 192 2 8 1 0 1 6 0.23214 0.12721
19 192 2 9 1 0 1 4 0.47939 0.30282
19 192 2 10 1 0 1 4 0.25191 0.14663
19 192 3 11 0 0 6 3 0.6281 0.44673
19 192 3 12 0 0 6 2 0.47015 0.30296
19 192 3 13 0 0 6 1 0.37019 0.23309
19 192 3 14 0 0 6 2 0.30339 0.10962
19 192 3 15 0 0 6 3 0.30781 0.16501
19 192 4 16 1 1 2 5 0.12417 0.13549
19 192 4 17 1 1 2 6 0.10324 0.05195
19 192 4 18 1 1 2 4 0.26552 0.16908
19 192 4 19 1 1 2 5 0.17631 0.17076
19 192 4 20 1 1 2 6 0.15672 0.15097
19 192 5 21 0 1 8 3 0.18548 0.12353
19 192 5 22 0 1 8 2 0.5388 0.35783
19 192 5 23 0 1 8 2 0.21478 0.14453
19 192 5 24 0 1 8 4 0.148 0.10706
19 192 5 25 0 1 8 3 0.18443 0.15922
19 192 6 26 1 0 4 2 0.76716 0.37311
19 192 6 27 1 0 4 3 0.26323 0.19737
19 192 6 28 1 0 4 2 0.36892 0.25069
19 192 6 29 1 0 4 3 0.82026 0.75252
19 192 6 30 1 0 4 4 0.24742 0.26573
19 192 7 31 0 0 7 4 0.20532 0.13572
19 192 7 32 0 0 7 2 0.35908 0.14444
19 192 7 33 0 0 7 2 0.68475 0.33213
19 192 7 34 0 0 7 1 0.35525 0.19339
19 192 7 35 0 0 7 1 2.1552 0.94041
19 192 8 36 1 1 3 6 0.15691 0.097821
19 192 8 37 1 1 3 6 0.11199 0.091135
19 192 8 38 1 1 3 5 0.17076 0.15851
19 192 8 39 1 1 3 5 0.20358 0.13837
19 192 8 40 1 1 3 6 0.29551 0.15487
