PairNumber ParticipantNumber BlockNumber TrialNumber ExperimentalCondition PartPerformed ToneSequence JointAgencyRatings MeanSynchronizationPerformance SDSynchronizationPerformance
3 31 1 1 0 0 5 2 0.17178 0.10509
3 31 1 2 0 0 5 4 0.36621 0.16248
3 31 1 3 0 0 5 3 0.33113 0.12004
3 31 1 4 0 0 5 3 0.22077 0.19541
3 31 1 5 0 0 5 2 1.0474 0.91707
3 31 2 6 1 1 1 5 0.22556 0.079114
3 31 2 7 1 1 1 6 0.25184 0.1912
3 31 2 8 1 1 1 6 0.15141 0.097691
3 31 2 9 1 1 1 5 0.2504 0.1088
3 31 2 10 1 1 1 5 0.20066 0.19993
3 31 3 11 0 1 6 3 0.2014 0.10174
3 31 3 12 0 1 6 6 0.13958 0.10141
3 31 3 13 0 1 6 3 0.12174 0.1166
3 31 3 14 0 1 6 4 0.19224 0.12182
3 31 3 15 0 1 6 3 0.24827 0.20778
3 31 4 16 1 0 2 6 0.15462 0.08752
3 31 4 17 1 0 2 5 0.20637 0.1379
3 31 4 18 1 0 2 5 0.15945 0.092763
3 31 4 19 1 0 2 5 0.2417 0.1628
3 31 4 20 1 0 2 5 0.24037 0.11878
3 31 5 21 0 0 8 2 0.20286 0.077874
3 31 5 22 0 0 8 3 0.26091 0.09546
3 31 5 23 0 0 8 2 0.2809 0.13502
3 31 5 24 0 0 8 3 0.37085 0.22628
3 31 5 25 0 0 8 2 0.5589 0.32718
3 31 6 26 1 1 4 4 0.15372 0.16347
3 31 6 27 1 1 4 6 0.10962 0.092278
3 31 6 28 1 1 4 3 0.2109 0.1629
3 31 6 29 1 1 4 4 0.19308 0.11738
3 31 6 30 1 1 4 6 0.19672 0.083525
3 31 7 31 0 1 7 5 0.11836 0.11242
3 31 7 32 0 1 7 3 0.22071 0.19033
3 31 7 33 0 1 7 5 0.18205 0.13623
3 31 7 34 0 1 7 2 0.32389 0.25966
3 31 7 35 0 1 7 2 0.76432 0.38775
3 31 8 36 1 0 3 3 0.48655 0.19916
3 31 8 37 1 0 3 4 0.1299 0.1336
3 31 8 38 1 0 3 4 0.2294 0.11665
3 31 8 39 1 0 3 4 0.20047 0.16173
3 31 8 40 1 0 3 6 0.15518 0.11288
3 32 1 1 0 1 5 4 0.17178 0.10509
3 32 1 2 0 1 5 4 0.36621 0.16248
3 32 1 3 0 1 5 6 0.33113 0.12004
3 32 1 4 0 1 5 5 0.22077 0.19541
3 32 1 5 0 1 5 1 1.0474 0.91707
3 32 2 6 1 0 1 5 0.22556 0.079114
3 32 2 7 1 0 1 3 0.25184 0.1912
3 32 2 8 1 0 1 6 0.15141 0.097691
3 32 2 9 1 0 1 3 0.2504 0.1088
3 32 2 10 1 0 1 4 0.20066 0.19993
3 32 3 11 0 0 6 6 0.2014 0.10174
3 32 3 12 0 0 6 6 0.13958 0.10141
3 32 3 13 0 0 6 6 0.12174 0.1166
3 32 3 14 0 0 6 7 0.19224 0.12182
3 32 3 15 0 0 6 7 0.24827 0.20778
3 32 4 16 1 1 2 7 0.15462 0.08752
3 32 4 17 1 1 2 6 0.20637 0.1379
3 32 4 18 1 1 2 7 0.15945 0.092763
3 32 4 19 1 1 2 3 0.2417 0.1628
3 32 4 20 1 1 2 4 0.24037 0.11878
3 32 5 21 0 1 8 4 0.20286 0.077874
3 32 5 22 0 1 8 5 0.26091 0.09546
3 32 5 23 0 1 8 3 0.2809 0.13502
3 32 5 24 0 1 8 4 0.37085 0.22628
3 32 5 25 0 1 8 2 0.5589 0.32718
3 32 6 26 1 0 4 3 0.15372 0.16347
3 32 6 27 1 0 4 7 0.10962 0.092278
3 32 6 28 1 0 4 2 0.2109 0.1629
3 32 6 29 1 0 4 3 0.19308 0.11738
3 32 6 30 1 0 4 7 0.19672 0.083525
3 32 7 31 0 0 7 7 0.11836 0.11242
3 32 7 32 0 0 7 6 0.22071 0.19033
3 32 7 33 0 0 7 6 0.18205 0.13623
3 32 7 34 0 0 7 3 0.32389 0.25966
3 32 7 35 0 0 7 2 0.76432 0.38775
3 32 8 36 1 1 3 5 0.48655 0.19916
3 32 8 37 1 1 3 4 0.1299 0.1336
3 32 8 38 1 1 3 6 0.2294 0.11665
3 32 8 39 1 1 3 4 0.20047 0.16173
3 32 8 40 1 1 3 7 0.15518 0.11288
