participant_id	age1	age2
sub-01	29	20
sub-02	19	19
sub-03	22	20
sub-04	19	19
sub-05	21	23
sub-06	21	32
sub-07	29	28
sub-08	24	19
sub-09	23	30
sub-10	21	20
sub-11	19	23
sub-12	21	21
sub-13	21	44
sub-14	17	19
sub-15	28	26
sub-16	27	24
sub-17	18	20
sub-18	18	36
sub-19	24	18
sub-20	23	43
sub-21	18	18
sub-22	22	21
sub-23	21	22
sub-24	31	27
sub-25	31	20
sub-26	25	24
sub-27	20	20
sub-28	21	20
sub-29	23	29
sub-30	31	31
sub-31	25	21
sub-32	23	22
