PairNumber ParticipantNumber BlockNumber TrialNumber ExperimentalCondition PartPerformed ToneSequence JointAgencyRatings MeanSynchronizationPerformance SDSynchronizationPerformance
6 61 1 1 1 1 2 5 0.33331 0.25086
6 61 1 2 1 1 2 6 0.26397 0.11822
6 61 1 3 1 1 2 6 0.34573 0.20917
6 61 1 4 1 1 2 6 0.098971 0.10301
6 61 1 5 1 1 2 7 0.13664 0.1114
6 61 2 6 0 0 6 1 0.45366 0.2633
6 61 2 7 0 0 6 3 0.67053 0.27111
6 61 2 8 0 0 6 2 0.32451 0.21011
6 61 2 9 0 0 6 5 0.47052 0.15196
6 61 2 10 0 0 6 4 0.4335 0.16672
6 61 3 11 1 0 3 4 0.14613 0.10606
6 61 3 12 1 0 3 3 0.17843 0.14435
6 61 3 13 1 0 3 5 0.191 0.15574
6 61 3 14 1 0 3 5 0.11088 0.090845
6 61 3 15 1 0 3 3 0.5377 0.22545
6 61 4 16 0 1 7 2 0.58377 0.27484
6 61 4 17 0 1 7 5 0.25072 0.15067
6 61 4 18 0 1 7 5 0.29317 0.13967
6 61 4 19 0 1 7 2 0.23727 0.13
6 61 4 20 0 1 7 4 0.21427 0.2263
6 61 5 21 1 1 1 6 0.16226 0.13792
6 61 5 22 1 1 1 4 0.17282 0.11748
6 61 5 23 1 1 1 2 0.47591 0.20012
6 61 5 24 1 1 1 6 0.15996 0.088204
6 61 5 25 1 1 1 5 0.27508 0.17906
6 61 6 26 0 0 5 3 0.28952 0.22913
6 61 6 27 0 0 5 4 0.33367 0.27727
6 61 6 28 0 0 5 3 0.22301 0.17779
6 61 6 29 0 0 5 5 0.23716 0.14038
6 61 6 30 0 0 5 3 0.65516 0.29347
6 61 7 31 1 0 4 4 0.17285 0.10699
6 61 7 32 1 0 4 3 0.18733 0.14264
6 61 7 33 1 0 4 1 0.12098 0.089014
6 61 7 34 1 0 4 4 0.18938 0.14526
6 61 7 35 1 0 4 5 0.11793 0.10404
6 61 8 36 0 1 8 2 0.24817 0.21113
6 61 8 37 0 1 8 5 0.077004 0.068996
6 61 8 38 0 1 8 4 0.16007 0.15357
6 61 8 39 0 1 8 6 0.11477 0.085514
6 61 8 40 0 1 8 1 0.45281 0.28925
6 62 1 1 1 0 2 5 0.33331 0.25086
6 62 1 2 1 0 2 4 0.26397 0.11822
6 62 1 3 1 0 2 4 0.34573 0.20917
6 62 1 4 1 0 2 6 0.098971 0.10301
6 62 1 5 1 0 2 7 0.13664 0.1114
6 62 2 6 0 1 6 1 0.45366 0.2633
6 62 2 7 0 1 6 3 0.67053 0.27111
6 62 2 8 0 1 6 4 0.32451 0.21011
6 62 2 9 0 1 6 1 0.47052 0.15196
6 62 2 10 0 1 6 1 0.4335 0.16672
6 62 3 11 1 1 3 4 0.14613 0.10606
6 62 3 12 1 1 3 4 0.17843 0.14435
6 62 3 13 1 1 3 3 0.191 0.15574
6 62 3 14 1 1 3 6 0.11088 0.090845
6 62 3 15 1 1 3 2 0.5377 0.22545
6 62 4 16 0 0 7 3 0.58377 0.27484
6 62 4 17 0 0 7 3 0.25072 0.15067
6 62 4 18 0 0 7 3 0.29317 0.13967
6 62 4 19 0 0 7 4 0.23727 0.13
6 62 4 20 0 0 7 5 0.21427 0.2263
6 62 5 21 1 0 1 5 0.16226 0.13792
6 62 5 22 1 0 1 3 0.17282 0.11748
6 62 5 23 1 0 1 3 0.47591 0.20012
6 62 5 24 1 0 1 5 0.15996 0.088204
6 62 5 25 1 0 1 4 0.27508 0.17906
6 62 6 26 0 1 5 2 0.28952 0.22913
6 62 6 27 0 1 5 3 0.33367 0.27727
6 62 6 28 0 1 5 3 0.22301 0.17779
6 62 6 29 0 1 5 3 0.23716 0.14038
6 62 6 30 0 1 5 3 0.65516 0.29347
6 62 7 31 1 1 4 2 0.17285 0.10699
6 62 7 32 1 1 4 3 0.18733 0.14264
6 62 7 33 1 1 4 4 0.12098 0.089014
6 62 7 34 1 1 4 4 0.18938 0.14526
6 62 7 35 1 1 4 6 0.11793 0.10404
6 62 8 36 0 0 8 2 0.24817 0.21113
6 62 8 37 0 0 8 5 0.077004 0.068996
6 62 8 38 0 0 8 4 0.16007 0.15357
6 62 8 39 0 0 8 2 0.11477 0.085514
6 62 8 40 0 0 8 1 0.45281 0.28925
