PairNumber ParticipantNumber BlockNumber TrialNumber ExperimentalCondition PartPerformed ToneSequence JointAgencyRatings MeanSynchronizationPerformance SDSynchronizationPerformance
32 321 1 1 0 1 8 4 1.0113 0.35841
32 321 1 2 0 1 8 5 1.0988 0.31302
32 321 1 3 0 1 8 3 0.78406 0.29129
32 321 1 4 0 1 8 4 0.84728 0.51333
32 321 1 5 0 1 8 4 0.65172 0.32799
32 321 2 6 1 0 4 4 0.24446 0.14358
32 321 2 7 1 0 4 5 0.21032 0.22463
32 321 2 8 1 0 4 6 0.12598 0.096694
32 321 2 9 1 0 4 5 0.25109 0.25887
32 321 2 10 1 0 4 4 0.209 0.1742
32 321 3 11 0 0 5 5 0.16421 0.12648
32 321 3 12 0 0 5 5 0.23602 0.16348
32 321 3 13 0 0 5 5 0.17709 0.086075
32 321 3 14 0 0 5 5 0.33845 0.29636
32 321 3 15 0 0 5 4 0.27568 0.24425
32 321 4 16 1 1 1 5 0.14693 0.10028
32 321 4 17 1 1 1 5 0.14559 0.074131
32 321 4 18 1 1 1 4 0.45287 0.3303
32 321 4 19 1 1 1 5 0.2629 0.13395
32 321 4 20 1 1 1 6 0.29295 0.12846
32 321 5 21 0 1 7 4 0.25985 0.3012
32 321 5 22 0 1 7 4 0.37029 0.24557
32 321 5 23 0 1 7 5 0.36335 0.35433
32 321 5 24 0 1 7 5 0.53656 0.33462
32 321 5 25 0 1 7 5 0.64268 0.30381
32 321 6 26 1 0 3 5 0.19254 0.19887
32 321 6 27 1 0 3 5 0.20798 0.16043
32 321 6 28 1 0 3 5 0.19464 0.15163
32 321 6 29 1 0 3 5 0.09383 0.074434
32 321 6 30 1 0 3 5 0.15375 0.1026
32 321 7 31 0 0 6 5 0.17643 0.11304
32 321 7 32 0 0 6 6 0.14199 0.080406
32 321 7 33 0 0 6 4 0.36432 0.1753
32 321 7 34 0 0 6 5 0.19639 0.12976
32 321 7 35 0 0 6 5 0.28809 0.24219
32 321 8 36 1 1 2 5 0.11147 0.12423
32 321 8 37 1 1 2 5 0.27269 0.20468
32 321 8 38 1 1 2 5 0.35053 0.25739
32 321 8 39 1 1 2 5 0.16464 0.12967
32 321 8 40 1 1 2 4 0.29002 0.24157
32 322 1 1 0 0 8 4 1.0113 0.35841
32 322 1 2 0 0 8 4 1.0988 0.31302
32 322 1 3 0 0 8 5 0.78406 0.29129
32 322 1 4 0 0 8 3 0.84728 0.51333
32 322 1 5 0 0 8 3 0.65172 0.32799
32 322 2 6 1 1 4 6 0.24446 0.14358
32 322 2 7 1 1 4 5 0.21032 0.22463
32 322 2 8 1 1 4 6 0.12598 0.096694
32 322 2 9 1 1 4 5 0.25109 0.25887
32 322 2 10 1 1 4 5 0.209 0.1742
32 322 3 11 0 1 5 5 0.16421 0.12648
32 322 3 12 0 1 5 5 0.23602 0.16348
32 322 3 13 0 1 5 6 0.17709 0.086075
32 322 3 14 0 1 5 3 0.33845 0.29636
32 322 3 15 0 1 5 4 0.27568 0.24425
32 322 4 16 1 0 1 6 0.14693 0.10028
32 322 4 17 1 0 1 6 0.14559 0.074131
32 322 4 18 1 0 1 4 0.45287 0.3303
32 322 4 19 1 0 1 6 0.2629 0.13395
32 322 4 20 1 0 1 5 0.29295 0.12846
32 322 5 21 0 0 7 5 0.25985 0.3012
32 322 5 22 0 0 7 4 0.37029 0.24557
32 322 5 23 0 0 7 5 0.36335 0.35433
32 322 5 24 0 0 7 6 0.53656 0.33462
32 322 5 25 0 0 7 4 0.64268 0.30381
32 322 6 26 1 1 3 6 0.19254 0.19887
32 322 6 27 1 1 3 5 0.20798 0.16043
32 322 6 28 1 1 3 6 0.19464 0.15163
32 322 6 29 1 1 3 7 0.09383 0.074434
32 322 6 30 1 1 3 7 0.15375 0.1026
32 322 7 31 0 1 6 6 0.17643 0.11304
32 322 7 32 0 1 6 6 0.14199 0.080406
32 322 7 33 0 1 6 4 0.36432 0.1753
32 322 7 34 0 1 6 6 0.19639 0.12976
32 322 7 35 0 1 6 5 0.28809 0.24219
32 322 8 36 1 0 2 6 0.11147 0.12423
32 322 8 37 1 0 2 5 0.27269 0.20468
32 322 8 38 1 0 2 5 0.35053 0.25739
32 322 8 39 1 0 2 6 0.16464 0.12967
32 322 8 40 1 0 2 6 0.29002 0.24157
