PairNumber ParticipantNumber BlockNumber TrialNumber ExperimentalCondition PartPerformed ToneSequence JointAgencyRatings MeanSynchronizationPerformance SDSynchronizationPerformance
17 171 1 1 1 0 1 3 0.2931 0.14642
17 171 1 2 1 0 1 2 0.46874 0.13892
17 171 1 3 1 0 1 4 0.11525 0.074777
17 171 1 4 1 0 1 3 0.28541 0.20832
17 171 1 5 1 0 1 3 0.23536 0.095985
17 171 2 6 0 1 5 1 0.35759 0.2967
17 171 2 7 0 1 5 2 1.0605 0.24999
17 171 2 8 0 1 5 3 0.35683 0.17643
17 171 2 9 0 1 5 3 0.35137 0.13768
17 171 2 10 0 1 5 4 0.52733 0.305
17 171 3 11 1 1 2 4 0.55831 0.14743
17 171 3 12 1 1 2 3 0.80672 0.36223
17 171 3 13 1 1 2 3 0.3001 0.15078
17 171 3 14 1 1 2 4 0.36181 0.13925
17 171 3 15 1 1 2 5 0.16436 0.11356
17 171 4 16 0 0 6 1 0.40229 0.3025
17 171 4 17 0 0 6 2 0.53671 0.26097
17 171 4 18 0 0 6 3 0.21062 0.15181
17 171 4 19 0 0 6 2 0.41005 0.22223
17 171 4 20 0 0 6 2 0.21104 0.13123
17 171 5 21 1 0 4 3 0.24081 0.14815
17 171 5 22 1 0 4 4 0.27579 0.13604
17 171 5 23 1 0 4 2 0.3308 0.17948
17 171 5 24 1 0 4 5 0.14704 0.13052
17 171 5 25 1 0 4 3 0.25392 0.12452
17 171 6 26 0 1 8 3 0.21782 0.14382
17 171 6 27 0 1 8 4 0.20689 0.13557
17 171 6 28 0 1 8 3 0.31909 0.086869
17 171 6 29 0 1 8 4 0.21887 0.21693
17 171 6 30 0 1 8 6 0.20155 0.17234
17 171 7 31 1 1 3 5 0.12482 0.10281
17 171 7 32 1 1 3 4 0.37698 0.20878
17 171 7 33 1 1 3 5 0.16807 0.14153
17 171 7 34 1 1 3 5 0.15788 0.10126
17 171 7 35 1 1 3 3 0.346 0.25239
17 171 8 36 0 0 7 5 0.14729 0.10708
17 171 8 37 0 0 7 4 0.18113 0.087037
17 171 8 38 0 0 7 2 0.39535 0.22891
17 171 8 39 0 0 7 6 0.20861 0.12099
17 171 8 40 0 0 7 2 0.25271 0.16026
17 172 1 1 1 1 1 5 0.2931 0.14642
17 172 1 2 1 1 1 5 0.46874 0.13892
17 172 1 3 1 1 1 6 0.11525 0.074777
17 172 1 4 1 1 1 6 0.28541 0.20832
17 172 1 5 1 1 1 5 0.23536 0.095985
17 172 2 6 0 0 5 3 0.35759 0.2967
17 172 2 7 0 0 5 3 1.0605 0.24999
17 172 2 8 0 0 5 4 0.35683 0.17643
17 172 2 9 0 0 5 5 0.35137 0.13768
17 172 2 10 0 0 5 5 0.52733 0.305
17 172 3 11 1 0 2 4 0.55831 0.14743
17 172 3 12 1 0 2 5 0.80672 0.36223
17 172 3 13 1 0 2 6 0.3001 0.15078
17 172 3 14 1 0 2 5 0.36181 0.13925
17 172 3 15 1 0 2 7 0.16436 0.11356
17 172 4 16 0 1 6 4 0.40229 0.3025
17 172 4 17 0 1 6 5 0.53671 0.26097
17 172 4 18 0 1 6 5 0.21062 0.15181
17 172 4 19 0 1 6 5 0.41005 0.22223
17 172 4 20 0 1 6 4 0.21104 0.13123
17 172 5 21 1 1 4 6 0.24081 0.14815
17 172 5 22 1 1 4 5 0.27579 0.13604
17 172 5 23 1 1 4 5 0.3308 0.17948
17 172 5 24 1 1 4 6 0.14704 0.13052
17 172 5 25 1 1 4 4 0.25392 0.12452
17 172 6 26 0 0 8 6 0.21782 0.14382
17 172 6 27 0 0 8 6 0.20689 0.13557
17 172 6 28 0 0 8 4 0.31909 0.086869
17 172 6 29 0 0 8 6 0.21887 0.21693
17 172 6 30 0 0 8 5 0.20155 0.17234
17 172 7 31 1 0 3 5 0.12482 0.10281
17 172 7 32 1 0 3 4 0.37698 0.20878
17 172 7 33 1 0 3 5 0.16807 0.14153
17 172 7 34 1 0 3 5 0.15788 0.10126
17 172 7 35 1 0 3 3 0.346 0.25239
17 172 8 36 0 1 7 4 0.14729 0.10708
17 172 8 37 0 1 7 4 0.18113 0.087037
17 172 8 38 0 1 7 3 0.39535 0.22891
17 172 8 39 0 1 7 5 0.20861 0.12099
17 172 8 40 0 1 7 4 0.25271 0.16026
