PairNumber ParticipantNumber BlockNumber TrialNumber ExperimentalCondition PartPerformed ToneSequence JointAgencyRatings MeanSynchronizationPerformance SDSynchronizationPerformance
31 311 1 1 0 0 8 6 0.16032 0.13825
31 311 1 2 0 0 8 1 0.62128 0.31572
31 311 1 3 0 0 8 2 0.13575 0.089756
31 311 1 4 0 0 8 4 0.44627 0.33094
31 311 1 5 0 0 8 5 0.22784 0.14632
31 311 2 6 1 1 4 4 0.14781 0.093139
31 311 2 7 1 1 4 3 0.20235 0.12633
31 311 2 8 1 1 4 5 0.22228 0.15512
31 311 2 9 1 1 4 3 0.21695 0.12799
31 311 2 10 1 1 4 3 0.14469 0.10345
31 311 3 11 0 1 5 6 0.10627 0.10509
31 311 3 12 0 1 5 5 0.10402 0.080408
31 311 3 13 0 1 5 3 0.15707 0.18567
31 311 3 14 0 1 5 1 0.14095 0.12286
31 311 3 15 0 1 5 3 0.16682 0.13104
31 311 4 16 1 0 1 5 0.20226 0.16293
31 311 4 17 1 0 1 6 0.11168 0.11136
31 311 4 18 1 0 1 5 0.16548 0.084238
31 311 4 19 1 0 1 4 0.22723 0.23466
31 311 4 20 1 0 1 4 0.14961 0.11739
31 311 5 21 0 0 7 4 0.16058 0.12876
31 311 5 22 0 0 7 2 0.16033 0.10438
31 311 5 23 0 0 7 4 0.14753 0.11574
31 311 5 24 0 0 7 6 0.11757 0.097075
31 311 5 25 0 0 7 2 0.17344 0.099584
31 311 6 26 1 1 3 3 0.48843 0.19284
31 311 6 27 1 1 3 5 0.29652 0.10844
31 311 6 28 1 1 3 5 0.2793 0.16728
31 311 6 29 1 1 3 5 0.31433 0.16186
31 311 6 30 1 1 3 4 0.43298 0.30249
31 311 7 31 0 1 6 5 0.19663 0.15883
31 311 7 32 0 1 6 6 0.13023 0.11881
31 311 7 33 0 1 6 3 0.11182 0.098619
31 311 7 34 0 1 6 7 0.19241 0.15441
31 311 7 35 0 1 6 4 0.15544 0.087807
31 311 8 36 1 0 2 4 0.19982 0.15324
31 311 8 37 1 0 2 3 0.18465 0.11807
31 311 8 38 1 0 2 4 0.14417 0.1284
31 311 8 39 1 0 2 5 0.12167 0.065191
31 311 8 40 1 0 2 3 0.18357 0.13162
31 312 1 1 0 1 8 4 0.16032 0.13825
31 312 1 2 0 1 8 3 0.62128 0.31572
31 312 1 3 0 1 8 5 0.13575 0.089756
31 312 1 4 0 1 8 3 0.44627 0.33094
31 312 1 5 0 1 8 5 0.22784 0.14632
31 312 2 6 1 0 4 6 0.14781 0.093139
31 312 2 7 1 0 4 4 0.20235 0.12633
31 312 2 8 1 0 4 6 0.22228 0.15512
31 312 2 9 1 0 4 5 0.21695 0.12799
31 312 2 10 1 0 4 6 0.14469 0.10345
31 312 3 11 0 0 5 4 0.10627 0.10509
31 312 3 12 0 0 5 5 0.10402 0.080408
31 312 3 13 0 0 5 4 0.15707 0.18567
31 312 3 14 0 0 5 5 0.14095 0.12286
31 312 3 15 0 0 5 5 0.16682 0.13104
31 312 4 16 1 1 1 5 0.20226 0.16293
31 312 4 17 1 1 1 6 0.11168 0.11136
31 312 4 18 1 1 1 5 0.16548 0.084238
31 312 4 19 1 1 1 4 0.22723 0.23466
31 312 4 20 1 1 1 5 0.14961 0.11739
31 312 5 21 0 1 7 4 0.16058 0.12876
31 312 5 22 0 1 7 5 0.16033 0.10438
31 312 5 23 0 1 7 4 0.14753 0.11574
31 312 5 24 0 1 7 5 0.11757 0.097075
31 312 5 25 0 1 7 4 0.17344 0.099584
31 312 6 26 1 0 3 3 0.48843 0.19284
31 312 6 27 1 0 3 3 0.29652 0.10844
31 312 6 28 1 0 3 4 0.2793 0.16728
31 312 6 29 1 0 3 3 0.31433 0.16186
31 312 6 30 1 0 3 4 0.43298 0.30249
31 312 7 31 0 0 6 4 0.19663 0.15883
31 312 7 32 0 0 6 4 0.13023 0.11881
31 312 7 33 0 0 6 4 0.11182 0.098619
31 312 7 34 0 0 6 4 0.19241 0.15441
31 312 7 35 0 0 6 4 0.15544 0.087807
31 312 8 36 1 1 2 5 0.19982 0.15324
31 312 8 37 1 1 2 5 0.18465 0.11807
31 312 8 38 1 1 2 6 0.14417 0.1284
31 312 8 39 1 1 2 7 0.12167 0.065191
31 312 8 40 1 1 2 6 0.18357 0.13162
