PairNumber ParticipantNumber BlockNumber TrialNumber ExperimentalCondition PartPerformed ToneSequence JointAgencyRatings MeanSynchronizationPerformance SDSynchronizationPerformance
27 271 1 1 0 0 7 2 0.64818 0.49701
27 271 1 2 0 0 7 2 0.46353 0.34379
27 271 1 3 0 0 7 3 0.52123 0.33387
27 271 1 4 0 0 7 3 0.56965 0.34598
27 271 1 5 0 0 7 3 0.21204 0.14281
27 271 2 6 1 1 3 2 0.42848 0.32875
27 271 2 7 1 1 3 4 0.15949 0.16702
27 271 2 8 1 1 3 3 0.25919 0.24382
27 271 2 9 1 1 3 3 0.68188 0.53494
27 271 2 10 1 1 3 2 0.83721 0.64135
27 271 3 11 0 1 8 4 0.23522 0.15395
27 271 3 12 0 1 8 2 0.64731 0.39892
27 271 3 13 0 1 8 5 0.081101 0.048918
27 271 3 14 0 1 8 2 0.72368 0.57882
27 271 3 15 0 1 8 3 0.31684 0.29105
27 271 4 16 1 0 4 5 0.14647 0.091789
27 271 4 17 1 0 4 6 0.15994 0.079943
27 271 4 18 1 0 4 5 0.11084 0.061111
27 271 4 19 1 0 4 3 0.54921 0.37692
27 271 4 20 1 0 4 3 0.15785 0.1171
27 271 5 21 0 0 6 3 0.33211 0.35092
27 271 5 22 0 0 6 3 0.19052 0.13936
27 271 5 23 0 0 6 3 0.22456 0.18979
27 271 5 24 0 0 6 4 0.12494 0.10426
27 271 5 25 0 0 6 3 0.24162 0.17439
27 271 6 26 1 1 2 2 0.88669 0.54118
27 271 6 27 1 1 2 2 0.74737 0.27409
27 271 6 28 1 1 2 4 0.3157 0.16828
27 271 6 29 1 1 2 5 0.15663 0.11478
27 271 6 30 1 1 2 4 0.55785 0.31567
27 271 7 31 0 1 5 3 0.35562 0.25989
27 271 7 32 0 1 5 3 0.33718 0.24524
27 271 7 33 0 1 5 1 1.7397 1.1781
27 271 7 34 0 1 5 1 0.82306 0.5391
27 271 7 35 0 1 5 2 0.52569 0.53241
27 271 8 36 1 0 1 4 0.17038 0.10143
27 271 8 37 1 0 1 4 0.26303 0.20652
27 271 8 38 1 0 1 5 0.12734 0.08326
27 271 8 39 1 0 1 4 0.21866 0.092165
27 271 8 40 1 0 1 5 0.1439 0.07912
27 272 1 1 0 1 7 3 0.64818 0.49701
27 272 1 2 0 1 7 4 0.46353 0.34379
27 272 1 3 0 1 7 4 0.52123 0.33387
27 272 1 4 0 1 7 4 0.56965 0.34598
27 272 1 5 0 1 7 5 0.21204 0.14281
27 272 2 6 1 0 3 2 0.42848 0.32875
27 272 2 7 1 0 3 5 0.15949 0.16702
27 272 2 8 1 0 3 4 0.25919 0.24382
27 272 2 9 1 0 3 3 0.68188 0.53494
27 272 2 10 1 0 3 4 0.83721 0.64135
27 272 3 11 0 0 8 6 0.23522 0.15395
27 272 3 12 0 0 8 3 0.64731 0.39892
27 272 3 13 0 0 8 6 0.081101 0.048918
27 272 3 14 0 0 8 4 0.72368 0.57882
27 272 3 15 0 0 8 4 0.31684 0.29105
27 272 4 16 1 1 4 7 0.14647 0.091789
27 272 4 17 1 1 4 7 0.15994 0.079943
27 272 4 18 1 1 4 7 0.11084 0.061111
27 272 4 19 1 1 4 4 0.54921 0.37692
27 272 4 20 1 1 4 6 0.15785 0.1171
27 272 5 21 0 1 6 5 0.33211 0.35092
27 272 5 22 0 1 6 4 0.19052 0.13936
27 272 5 23 0 1 6 5 0.22456 0.18979
27 272 5 24 0 1 6 5 0.12494 0.10426
27 272 5 25 0 1 6 3 0.24162 0.17439
27 272 6 26 1 0 2 4 0.88669 0.54118
27 272 6 27 1 0 2 2 0.74737 0.27409
27 272 6 28 1 0 2 4 0.3157 0.16828
27 272 6 29 1 0 2 7 0.15663 0.11478
27 272 6 30 1 0 2 5 0.55785 0.31567
27 272 7 31 0 0 5 4 0.35562 0.25989
27 272 7 32 0 0 5 5 0.33718 0.24524
27 272 7 33 0 0 5 3 1.7397 1.1781
27 272 7 34 0 0 5 4 0.82306 0.5391
27 272 7 35 0 0 5 5 0.52569 0.53241
27 272 8 36 1 1 1 6 0.17038 0.10143
27 272 8 37 1 1 1 6 0.26303 0.20652
27 272 8 38 1 1 1 7 0.12734 0.08326
27 272 8 39 1 1 1 6 0.21866 0.092165
27 272 8 40 1 1 1 6 0.1439 0.07912
