PairNumber ParticipantNumber BlockNumber TrialNumber ExperimentalCondition PartPerformed ToneSequence JointAgencyRatings MeanSynchronizationPerformance SDSynchronizationPerformance
28 281 1 1 0 1 7 5 0.08926 0.070682
28 281 1 2 0 1 7 5 0.11049 0.10509
28 281 1 3 0 1 7 4 0.22371 0.15771
28 281 1 4 0 1 7 6 0.33192 0.14264
28 281 1 5 0 1 7 5 0.12139 0.049442
28 281 2 6 1 0 3 4 0.88658 0.20203
28 281 2 7 1 0 3 6 0.17658 0.13343
28 281 2 8 1 0 3 7 0.18511 0.13183
28 281 2 9 1 0 3 7 0.17919 0.10692
28 281 2 10 1 0 3 7 0.17946 0.11825
28 281 3 11 0 0 8 5 0.1469 0.10873
28 281 3 12 0 0 8 5 0.16734 0.10925
28 281 3 13 0 0 8 7 0.066797 0.06124
28 281 3 14 0 0 8 6 0.13434 0.10139
28 281 3 15 0 0 8 6 0.12381 0.081259
28 281 4 16 1 1 4 4 0.39409 0.21479
28 281 4 17 1 1 4 5 0.26983 0.20008
28 281 4 18 1 1 4 5 0.39595 0.20876
28 281 4 19 1 1 4 6 0.41597 0.20033
28 281 4 20 1 1 4 7 0.40176 0.17719
28 281 5 21 0 1 6 3 0.25223 0.1861
28 281 5 22 0 1 6 4 0.19314 0.12239
28 281 5 23 0 1 6 6 0.14071 0.10771
28 281 5 24 0 1 6 6 0.12073 0.08255
28 281 5 25 0 1 6 5 0.23105 0.19405
28 281 6 26 1 0 2 5 0.23856 0.11203
28 281 6 27 1 0 2 6 0.16976 0.10677
28 281 6 28 1 0 2 6 0.15044 0.1168
28 281 6 29 1 0 2 6 0.19619 0.15016
28 281 6 30 1 0 2 5 0.18049 0.14832
28 281 7 31 0 0 5 5 0.11041 0.083279
28 281 7 32 0 0 5 5 0.1056 0.076332
28 281 7 33 0 0 5 6 0.11474 0.069508
28 281 7 34 0 0 5 5 0.09745 0.062323
28 281 7 35 0 0 5 4 0.12695 0.084867
28 281 8 36 1 1 1 3 0.4671 0.24147
28 281 8 37 1 1 1 5 0.45589 0.32408
28 281 8 38 1 1 1 5 0.65034 0.22301
28 281 8 39 1 1 1 6 0.21699 0.17374
28 281 8 40 1 1 1 3 0.49059 0.2878
28 282 1 1 0 0 7 5 0.08926 0.070682
28 282 1 2 0 0 7 5 0.11049 0.10509
28 282 1 3 0 0 7 6 0.22371 0.15771
28 282 1 4 0 0 7 3 0.33192 0.14264
28 282 1 5 0 0 7 6 0.12139 0.049442
28 282 2 6 1 1 3 5 0.88658 0.20203
28 282 2 7 1 1 3 5 0.17658 0.13343
28 282 2 8 1 1 3 6 0.18511 0.13183
28 282 2 9 1 1 3 5 0.17919 0.10692
28 282 2 10 1 1 3 7 0.17946 0.11825
28 282 3 11 0 1 8 4 0.1469 0.10873
28 282 3 12 0 1 8 5 0.16734 0.10925
28 282 3 13 0 1 8 7 0.066797 0.06124
28 282 3 14 0 1 8 6 0.13434 0.10139
28 282 3 15 0 1 8 6 0.12381 0.081259
28 282 4 16 1 0 4 4 0.39409 0.21479
28 282 4 17 1 0 4 5 0.26983 0.20008
28 282 4 18 1 0 4 4 0.39595 0.20876
28 282 4 19 1 0 4 4 0.41597 0.20033
28 282 4 20 1 0 4 4 0.40176 0.17719
28 282 5 21 0 0 6 4 0.25223 0.1861
28 282 5 22 0 0 6 5 0.19314 0.12239
28 282 5 23 0 0 6 6 0.14071 0.10771
28 282 5 24 0 0 6 5 0.12073 0.08255
28 282 5 25 0 0 6 5 0.23105 0.19405
28 282 6 26 1 1 2 5 0.23856 0.11203
28 282 6 27 1 1 2 7 0.16976 0.10677
28 282 6 28 1 1 2 6 0.15044 0.1168
28 282 6 29 1 1 2 6 0.19619 0.15016
28 282 6 30 1 1 2 6 0.18049 0.14832
28 282 7 31 0 1 5 6 0.11041 0.083279
28 282 7 32 0 1 5 7 0.1056 0.076332
28 282 7 33 0 1 5 6 0.11474 0.069508
28 282 7 34 0 1 5 6 0.09745 0.062323
28 282 7 35 0 1 5 6 0.12695 0.084867
28 282 8 36 1 0 1 3 0.4671 0.24147
28 282 8 37 1 0 1 5 0.45589 0.32408
28 282 8 38 1 0 1 5 0.65034 0.22301
28 282 8 39 1 0 1 5 0.21699 0.17374
28 282 8 40 1 0 1 6 0.49059 0.2878
