PairNumber ParticipantNumber BlockNumber TrialNumber ExperimentalCondition PartPerformed ToneSequence JointAgencyRatings MeanSynchronizationPerformance SDSynchronizationPerformance
29 291 1 1 1 0 4 5 0.16041 0.1587
29 291 1 2 1 0 4 6 0.13605 0.11903
29 291 1 3 1 0 4 5 0.21191 0.10906
29 291 1 4 1 0 4 7 0.11541 0.087162
29 291 1 5 1 0 4 5 0.16573 0.10613
29 291 2 6 0 1 8 5 0.17322 0.12258
29 291 2 7 0 1 8 7 0.088206 0.043694
29 291 2 8 0 1 8 5 0.1594 0.073008
29 291 2 9 0 1 8 7 0.095918 0.07725
29 291 2 10 0 1 8 6 0.12576 0.10857
29 291 3 11 1 1 1 4 0.25658 0.24744
29 291 3 12 1 1 1 5 0.33664 0.32191
29 291 3 13 1 1 1 7 0.11207 0.096603
29 291 3 14 1 1 1 7 0.13368 0.088107
29 291 3 15 1 1 1 5 0.1098 0.091393
29 291 4 16 0 0 5 7 0.16828 0.095358
29 291 4 17 0 0 5 6 0.14714 0.071436
29 291 4 18 0 0 5 5 0.111 0.13893
29 291 4 19 0 0 5 5 0.12963 0.12493
29 291 4 20 0 0 5 7 0.10082 0.055928
29 291 5 21 1 0 3 7 0.17026 0.1028
29 291 5 22 1 0 3 7 0.24195 0.10464
29 291 5 23 1 0 3 6 0.25837 0.23553
29 291 5 24 1 0 3 6 0.23454 0.14858
29 291 5 25 1 0 3 7 0.16731 0.18119
29 291 6 26 0 1 7 6 0.12353 0.11005
29 291 6 27 0 1 7 6 0.12143 0.095639
29 291 6 28 0 1 7 4 0.29998 0.21024
29 291 6 29 0 1 7 7 0.092045 0.097831
29 291 6 30 0 1 7 7 0.13115 0.088714
29 291 7 31 1 1 2 6 0.21875 0.16616
29 291 7 32 1 1 2 7 0.085151 0.065195
29 291 7 33 1 1 2 6 0.18203 0.146
29 291 7 34 1 1 2 7 0.2352 0.13672
29 291 7 35 1 1 2 7 0.22603 0.10349
29 291 8 36 0 0 6 6 0.12537 0.12078
29 291 8 37 0 0 6 5 0.13887 0.098081
29 291 8 38 0 0 6 7 0.12537 0.10151
29 291 8 39 0 0 6 2 0.29228 0.20813
29 291 8 40 0 0 6 4 0.17498 0.13872
29 292 1 1 1 1 4 3 0.16041 0.1587
29 292 1 2 1 1 4 4 0.13605 0.11903
29 292 1 3 1 1 4 5 0.21191 0.10906
29 292 1 4 1 1 4 6 0.11541 0.087162
29 292 1 5 1 1 4 6 0.16573 0.10613
29 292 2 6 0 0 8 4 0.17322 0.12258
29 292 2 7 0 0 8 6 0.088206 0.043694
29 292 2 8 0 0 8 4 0.1594 0.073008
29 292 2 9 0 0 8 4 0.095918 0.07725
29 292 2 10 0 0 8 3 0.12576 0.10857
29 292 3 11 1 0 1 3 0.25658 0.24744
29 292 3 12 1 0 1 4 0.33664 0.32191
29 292 3 13 1 0 1 5 0.11207 0.096603
29 292 3 14 1 0 1 6 0.13368 0.088107
29 292 3 15 1 0 1 7 0.1098 0.091393
29 292 4 16 0 1 5 4 0.16828 0.095358
29 292 4 17 0 1 5 3 0.14714 0.071436
29 292 4 18 0 1 5 4 0.111 0.13893
29 292 4 19 0 1 5 5 0.12963 0.12493
29 292 4 20 0 1 5 6 0.10082 0.055928
29 292 5 21 1 1 3 6 0.17026 0.1028
29 292 5 22 1 1 3 4 0.24195 0.10464
29 292 5 23 1 1 3 4 0.25837 0.23553
29 292 5 24 1 1 3 5 0.23454 0.14858
29 292 5 25 1 1 3 6 0.16731 0.18119
29 292 6 26 0 0 7 4 0.12353 0.11005
29 292 6 27 0 0 7 4 0.12143 0.095639
29 292 6 28 0 0 7 2 0.29998 0.21024
29 292 6 29 0 0 7 5 0.092045 0.097831
29 292 6 30 0 0 7 5 0.13115 0.088714
29 292 7 31 1 0 2 3 0.21875 0.16616
29 292 7 32 1 0 2 4 0.085151 0.065195
29 292 7 33 1 0 2 4 0.18203 0.146
29 292 7 34 1 0 2 3 0.2352 0.13672
29 292 7 35 1 0 2 5 0.22603 0.10349
29 292 8 36 0 1 6 6 0.12537 0.12078
29 292 8 37 0 1 6 4 0.13887 0.098081
29 292 8 38 0 1 6 4 0.12537 0.10151
29 292 8 39 0 1 6 1 0.29228 0.20813
29 292 8 40 0 1 6 3 0.17498 0.13872
