PairNumber ParticipantNumber BlockNumber TrialNumber ExperimentalCondition PartPerformed ToneSequence JointAgencyRatings MeanSynchronizationPerformance SDSynchronizationPerformance
2 21 1 1 0 1 1 5 0.27488 0.12691
2 21 1 2 0 1 1 6 0.15105 0.11503
2 21 1 3 0 1 1 3 0.46184 0.36504
2 21 1 4 0 1 1 5 0.18478 0.1599
2 21 1 5 0 1 1 6 0.19785 0.22953
2 21 2 6 1 0 5 5 0.12614 0.11469
2 21 2 7 1 0 5 6 0.19121 0.088787
2 21 2 8 1 0 5 5 0.25257 0.20071
2 21 2 9 1 0 5 7 0.23072 0.17602
2 21 2 10 1 0 5 7 0.080197 0.057695
2 21 3 11 0 0 2 7 0.11695 0.060476
2 21 3 12 0 0 2 6 0.12763 0.1013
2 21 3 13 0 0 2 7 0.12638 0.075285
2 21 3 14 0 0 2 5 0.16393 0.12582
2 21 3 15 0 0 2 7 0.11847 0.080773
2 21 4 16 1 1 6 3 0.69413 0.79468
2 21 4 17 1 1 6 6 0.15125 0.12772
2 21 4 18 1 1 6 3 0.70809 0.38713
2 21 4 19 1 1 6 4 0.30416 0.28591
2 21 4 20 1 1 6 1 0.68161 0.29076
2 21 5 21 0 1 4 5 0.17095 0.12585
2 21 5 22 0 1 4 7 0.12338 0.10878
2 21 5 23 0 1 4 5 0.37336 0.26923
2 21 5 24 0 1 4 7 0.11462 0.06577
2 21 5 25 0 1 4 6 0.20527 0.1734
2 21 6 26 1 0 8 5 0.14733 0.11803
2 21 6 27 1 0 8 6 0.0768 0.066431
2 21 6 28 1 0 8 7 0.15626 0.1071
2 21 6 29 1 0 8 6 0.13525 0.15482
2 21 6 30 1 0 8 6 0.13934 0.11792
2 21 7 31 0 0 3 7 0.12907 0.11245
2 21 7 32 0 0 3 7 0.13331 0.11556
2 21 7 33 0 0 3 7 0.094269 0.060803
2 21 7 34 0 0 3 6 0.20677 0.1672
2 21 7 35 0 0 3 7 0.10657 0.087322
2 21 8 36 1 1 7 7 0.13534 0.061345
2 21 8 37 1 1 7 6 0.20948 0.10861
2 21 8 38 1 1 7 7 0.19862 0.11197
2 21 8 39 1 1 7 7 0.12249 0.11659
2 21 8 40 1 1 7 3 0.44223 0.47819
2 22 1 1 0 0 1 4 0.27488 0.12691
2 22 1 2 0 0 1 7 0.15105 0.11503
2 22 1 3 0 0 1 3 0.46184 0.36504
2 22 1 4 0 0 1 7 0.18478 0.1599
2 22 1 5 0 0 1 4 0.19785 0.22953
2 22 2 6 1 1 5 4 0.12614 0.11469
2 22 2 7 1 1 5 3 0.19121 0.088787
2 22 2 8 1 1 5 5 0.25257 0.20071
2 22 2 9 1 1 5 3 0.23072 0.17602
2 22 2 10 1 1 5 7 0.080197 0.057695
2 22 3 11 0 1 2 7 0.11695 0.060476
2 22 3 12 0 1 2 5 0.12763 0.1013
2 22 3 13 0 1 2 6 0.12638 0.075285
2 22 3 14 0 1 2 6 0.16393 0.12582
2 22 3 15 0 1 2 7 0.11847 0.080773
2 22 4 16 1 0 6 3 0.69413 0.79468
2 22 4 17 1 0 6 5 0.15125 0.12772
2 22 4 18 1 0 6 4 0.70809 0.38713
2 22 4 19 1 0 6 5 0.30416 0.28591
2 22 4 20 1 0 6 3 0.68161 0.29076
2 22 5 21 0 0 4 6 0.17095 0.12585
2 22 5 22 0 0 4 7 0.12338 0.10878
2 22 5 23 0 0 4 6 0.37336 0.26923
2 22 5 24 0 0 4 7 0.11462 0.06577
2 22 5 25 0 0 4 5 0.20527 0.1734
2 22 6 26 1 1 8 6 0.14733 0.11803
2 22 6 27 1 1 8 6 0.0768 0.066431
2 22 6 28 1 1 8 7 0.15626 0.1071
2 22 6 29 1 1 8 6 0.13525 0.15482
2 22 6 30 1 1 8 6 0.13934 0.11792
2 22 7 31 0 1 3 6 0.12907 0.11245
2 22 7 32 0 1 3 6 0.13331 0.11556
2 22 7 33 0 1 3 7 0.094269 0.060803
2 22 7 34 0 1 3 4 0.20677 0.1672
2 22 7 35 0 1 3 7 0.10657 0.087322
2 22 8 36 1 0 7 7 0.13534 0.061345
2 22 8 37 1 0 7 4 0.20948 0.10861
2 22 8 38 1 0 7 4 0.19862 0.11197
2 22 8 39 1 0 7 7 0.12249 0.11659
2 22 8 40 1 0 7 3 0.44223 0.47819
