PairNumber ParticipantNumber BlockNumber TrialNumber ExperimentalCondition PartPerformed ToneSequence JointAgencyRatings MeanSynchronizationPerformance SDSynchronizationPerformance
13 131 1 1 1 0 4 4 0.18554 0.19193
13 131 1 2 1 0 4 6 0.20701 0.27389
13 131 1 3 1 0 4 7 0.10931 0.097086
13 131 1 4 1 0 4 5 0.18075 0.11832
13 131 1 5 1 0 4 7 0.16926 0.12315
13 131 2 6 0 1 8 1 0.59772 0.26987
13 131 2 7 0 1 8 4 0.19298 0.10089
13 131 2 8 0 1 8 3 0.51934 0.29905
13 131 2 9 0 1 8 5 0.2525 0.18544
13 131 2 10 0 1 8 6 0.15266 0.12049
13 131 3 11 1 1 1 1 0.80244 0.30061
13 131 3 12 1 1 1 5 0.40309 0.35198
13 131 3 13 1 1 1 5 0.12784 0.12533
13 131 3 14 1 1 1 2 0.78236 0.63032
13 131 3 15 1 1 1 4 1.2151 1.0474
13 131 4 16 0 0 5 6 0.15974 0.10846
13 131 4 17 0 0 5 7 0.13808 0.090832
13 131 4 18 0 0 5 7 0.11571 0.070701
13 131 4 19 0 0 5 7 0.14101 0.10105
13 131 4 20 0 0 5 3 0.1968 0.15405
13 131 5 21 1 0 3 5 0.20874 0.12475
13 131 5 22 1 0 3 3 0.29829 0.22261
13 131 5 23 1 0 3 6 0.19472 0.18407
13 131 5 24 1 0 3 2 0.8109 0.22573
13 131 5 25 1 0 3 6 0.23088 0.16768
13 131 6 26 0 1 7 3 0.53443 0.3549
13 131 6 27 0 1 7 5 0.16349 0.20343
13 131 6 28 0 1 7 2 0.57416 0.25479
13 131 6 29 0 1 7 3 0.36159 0.23899
13 131 6 30 0 1 7 3 0.5561 0.30581
13 131 7 31 1 1 2 3 0.53981 0.47874
13 131 7 32 1 1 2 5 0.31019 0.29328
13 131 7 33 1 1 2 4 1.1461 1.3034
13 131 7 34 1 1 2 6 0.43222 0.50384
13 131 7 35 1 1 2 6 0.27921 0.14977
13 131 8 36 0 0 6 5 0.11151 0.098012
13 131 8 37 0 0 6 5 0.16948 0.13718
13 131 8 38 0 0 6 7 0.11312 0.10768
13 131 8 39 0 0 6 7 0.096961 0.072484
13 131 8 40 0 0 6 7 0.11826 0.074895
13 132 1 1 1 1 4 5 0.18554 0.19193
13 132 1 2 1 1 4 4 0.20701 0.27389
13 132 1 3 1 1 4 5 0.10931 0.097086
13 132 1 4 1 1 4 6 0.18075 0.11832
13 132 1 5 1 1 4 6 0.16926 0.12315
13 132 2 6 0 0 8 1 0.59772 0.26987
13 132 2 7 0 0 8 2 0.19298 0.10089
13 132 2 8 0 0 8 2 0.51934 0.29905
13 132 2 9 0 0 8 2 0.2525 0.18544
13 132 2 10 0 0 8 4 0.15266 0.12049
13 132 3 11 1 0 1 1 0.80244 0.30061
13 132 3 12 1 0 1 2 0.40309 0.35198
13 132 3 13 1 0 1 4 0.12784 0.12533
13 132 3 14 1 0 1 2 0.78236 0.63032
13 132 3 15 1 0 1 2 1.2151 1.0474
13 132 4 16 0 1 5 3 0.15974 0.10846
13 132 4 17 0 1 5 4 0.13808 0.090832
13 132 4 18 0 1 5 6 0.11571 0.070701
13 132 4 19 0 1 5 7 0.14101 0.10105
13 132 4 20 0 1 5 5 0.1968 0.15405
13 132 5 21 1 1 3 3 0.20874 0.12475
13 132 5 22 1 1 3 3 0.29829 0.22261
13 132 5 23 1 1 3 4 0.19472 0.18407
13 132 5 24 1 1 3 3 0.8109 0.22573
13 132 5 25 1 1 3 4 0.23088 0.16768
13 132 6 26 0 0 7 3 0.53443 0.3549
13 132 6 27 0 0 7 3 0.16349 0.20343
13 132 6 28 0 0 7 3 0.57416 0.25479
13 132 6 29 0 0 7 3 0.36159 0.23899
13 132 6 30 0 0 7 3 0.5561 0.30581
13 132 7 31 1 0 2 2 0.53981 0.47874
13 132 7 32 1 0 2 3 0.31019 0.29328
13 132 7 33 1 0 2 2 1.1461 1.3034
13 132 7 34 1 0 2 3 0.43222 0.50384
13 132 7 35 1 0 2 4 0.27921 0.14977
13 132 8 36 0 1 6 4 0.11151 0.098012
13 132 8 37 0 1 6 4 0.16948 0.13718
13 132 8 38 0 1 6 5 0.11312 0.10768
13 132 8 39 0 1 6 6 0.096961 0.072484
13 132 8 40 0 1 6 6 0.11826 0.074895
