PairNumber ParticipantNumber BlockNumber TrialNumber ExperimentalCondition PartPerformed ToneSequence JointAgencyRatings MeanSynchronizationPerformance SDSynchronizationPerformance
14 141 1 1 1 1 4 6 0.16935 0.11344
14 141 1 2 1 1 4 4 0.28848 0.15404
14 141 1 3 1 1 4 7 0.096628 0.068577
14 141 1 4 1 1 4 6 0.1816 0.16641
14 141 1 5 1 1 4 7 0.16718 0.11142
14 141 2 6 0 0 8 2 0.4043 0.22039
14 141 2 7 0 0 8 3 0.60496 0.43156
14 141 2 8 0 0 8 4 0.50291 0.68268
14 141 2 9 0 0 8 3 0.39566 0.27939
14 141 2 10 0 0 8 5 0.36504 0.26513
14 141 3 11 1 0 1 6 0.29126 0.23132
14 141 3 12 1 0 1 3 0.75522 0.27492
14 141 3 13 1 0 1 7 0.29189 0.21692
14 141 3 14 1 0 1 7 0.25168 0.17467
14 141 3 15 1 0 1 6 0.31226 0.17578
14 141 4 16 0 1 5 7 0.078738 0.061105
14 141 4 17 0 1 5 5 0.21839 0.10951
14 141 4 18 0 1 5 5 0.27938 0.10057
14 141 4 19 0 1 5 6 0.19639 0.15652
14 141 4 20 0 1 5 5 0.30633 0.16703
14 141 5 21 1 1 3 7 0.1854 0.14809
14 141 5 22 1 1 3 7 0.34433 0.22749
14 141 5 23 1 1 3 5 0.43333 0.23855
14 141 5 24 1 1 3 7 0.20168 0.11547
14 141 5 25 1 1 3 6 0.23569 0.15585
14 141 6 26 0 0 7 5 0.1466 0.12615
14 141 6 27 0 0 7 5 0.29091 0.23268
14 141 6 28 0 0 7 4 0.44612 0.27385
14 141 6 29 0 0 7 7 0.12602 0.094656
14 141 6 30 0 0 7 6 0.33436 0.31251
14 141 7 31 1 0 2 6 0.28257 0.21538
14 141 7 32 1 0 2 7 0.11892 0.10793
14 141 7 33 1 0 2 7 0.33378 0.1744
14 141 7 34 1 0 2 6 0.60796 0.395
14 141 7 35 1 0 2 7 0.20227 0.11424
14 141 8 36 0 1 6 5 0.48713 0.22724
14 141 8 37 0 1 6 7 0.20459 0.14097
14 141 8 38 0 1 6 7 0.16817 0.16342
14 141 8 39 0 1 6 6 0.094042 0.065663
14 141 8 40 0 1 6 6 0.31608 0.26286
14 142 1 1 1 0 4 6 0.16935 0.11344
14 142 1 2 1 0 4 3 0.28848 0.15404
14 142 1 3 1 0 4 5 0.096628 0.068577
14 142 1 4 1 0 4 4 0.1816 0.16641
14 142 1 5 1 0 4 4 0.16718 0.11142
14 142 2 6 0 1 8 2 0.4043 0.22039
14 142 2 7 0 1 8 1 0.60496 0.43156
14 142 2 8 0 1 8 2 0.50291 0.68268
14 142 2 9 0 1 8 3 0.39566 0.27939
14 142 2 10 0 1 8 2 0.36504 0.26513
14 142 3 11 1 1 1 3 0.29126 0.23132
14 142 3 12 1 1 1 1 0.75522 0.27492
14 142 3 13 1 1 1 3 0.29189 0.21692
14 142 3 14 1 1 1 4 0.25168 0.17467
14 142 3 15 1 1 1 5 0.31226 0.17578
14 142 4 16 0 0 5 6 0.078738 0.061105
14 142 4 17 0 0 5 6 0.21839 0.10951
14 142 4 18 0 0 5 7 0.27938 0.10057
14 142 4 19 0 0 5 5 0.19639 0.15652
14 142 4 20 0 0 5 5 0.30633 0.16703
14 142 5 21 1 0 3 7 0.1854 0.14809
14 142 5 22 1 0 3 4 0.34433 0.22749
14 142 5 23 1 0 3 3 0.43333 0.23855
14 142 5 24 1 0 3 6 0.20168 0.11547
14 142 5 25 1 0 3 7 0.23569 0.15585
14 142 6 26 0 1 7 6 0.1466 0.12615
14 142 6 27 0 1 7 6 0.29091 0.23268
14 142 6 28 0 1 7 5 0.44612 0.27385
14 142 6 29 0 1 7 7 0.12602 0.094656
14 142 6 30 0 1 7 6 0.33436 0.31251
14 142 7 31 1 1 2 5 0.28257 0.21538
14 142 7 32 1 1 2 7 0.11892 0.10793
14 142 7 33 1 1 2 6 0.33378 0.1744
14 142 7 34 1 1 2 5 0.60796 0.395
14 142 7 35 1 1 2 7 0.20227 0.11424
14 142 8 36 0 0 6 4 0.48713 0.22724
14 142 8 37 0 0 6 6 0.20459 0.14097
14 142 8 38 0 0 6 7 0.16817 0.16342
14 142 8 39 0 0 6 7 0.094042 0.065663
14 142 8 40 0 0 6 5 0.31608 0.26286
