PairNumber ParticipantNumber BlockNumber TrialNumber ExperimentalCondition PartPerformed ToneSequence JointAgencyRatings MeanSynchronizationPerformance SDSynchronizationPerformance
11 111 1 1 0 0 7 6 0.6751 0.26387
11 111 1 2 0 0 7 6 0.19112 0.093262
11 111 1 3 0 0 7 4 0.36143 0.1963
11 111 1 4 0 0 7 6 0.8041 0.417
11 111 1 5 0 0 7 7 0.18907 0.098833
11 111 2 6 1 1 3 4 1.6665 0.88455
11 111 2 7 1 1 3 5 0.88795 0.36648
11 111 2 8 1 1 3 6 0.15227 0.11226
11 111 2 9 1 1 3 3 0.5513 0.35655
11 111 2 10 1 1 3 5 0.34491 0.23873
11 111 3 11 0 1 8 3 0.42796 0.32777
11 111 3 12 0 1 8 3 0.56488 0.20756
11 111 3 13 0 1 8 3 0.46645 0.31831
11 111 3 14 0 1 8 4 0.16622 0.1061
11 111 3 15 0 1 8 5 1.0269 0.44079
11 111 4 16 1 0 4 6 0.33806 0.21634
11 111 4 17 1 0 4 6 0.31692 0.22992
11 111 4 18 1 0 4 4 0.53257 0.36765
11 111 4 19 1 0 4 4 0.32316 0.17808
11 111 4 20 1 0 4 5 0.37683 0.28526
11 111 5 21 0 0 6 3 1.2215 0.80521
11 111 5 22 0 0 6 4 0.62127 0.30576
11 111 5 23 0 0 6 5 0.28582 0.19377
11 111 5 24 0 0 6 6 0.11233 0.13051
11 111 5 25 0 0 6 5 0.23732 0.14575
11 111 6 26 1 1 2 5 0.44693 0.20438
11 111 6 27 1 1 2 6 0.20869 0.10727
11 111 6 28 1 1 2 6 0.18355 0.10638
11 111 6 29 1 1 2 5 0.34784 0.18377
11 111 6 30 1 1 2 6 0.40688 0.27025
11 111 7 31 0 1 5 4 0.50613 0.33996
11 111 7 32 0 1 5 6 0.27764 0.17684
11 111 7 33 0 1 5 7 0.138 0.11161
11 111 7 34 0 1 5 6 0.10817 0.093409
11 111 7 35 0 1 5 5 0.20165 0.17005
11 111 8 36 1 0 1 5 0.20614 0.1468
11 111 8 37 1 0 1 4 0.26648 0.29256
11 111 8 38 1 0 1 5 0.30675 0.18975
11 111 8 39 1 0 1 4 0.37111 0.19622
11 111 8 40 1 0 1 5 0.28633 0.23696
11 112 1 1 0 1 7 3 0.6751 0.26387
11 112 1 2 0 1 7 6 0.19112 0.093262
11 112 1 3 0 1 7 4 0.36143 0.1963
11 112 1 4 0 1 7 3 0.8041 0.417
11 112 1 5 0 1 7 6 0.18907 0.098833
11 112 2 6 1 0 3 3 1.6665 0.88455
11 112 2 7 1 0 3 4 0.88795 0.36648
11 112 2 8 1 0 3 6 0.15227 0.11226
11 112 2 9 1 0 3 7 0.5513 0.35655
11 112 2 10 1 0 3 6 0.34491 0.23873
11 112 3 11 0 0 8 6 0.42796 0.32777
11 112 3 12 0 0 8 3 0.56488 0.20756
11 112 3 13 0 0 8 3 0.46645 0.31831
11 112 3 14 0 0 8 4 0.16622 0.1061
11 112 3 15 0 0 8 3 1.0269 0.44079
11 112 4 16 1 1 4 4 0.33806 0.21634
11 112 4 17 1 1 4 6 0.31692 0.22992
11 112 4 18 1 1 4 3 0.53257 0.36765
11 112 4 19 1 1 4 6 0.32316 0.17808
11 112 4 20 1 1 4 7 0.37683 0.28526
11 112 5 21 0 1 6 3 1.2215 0.80521
11 112 5 22 0 1 6 3 0.62127 0.30576
11 112 5 23 0 1 6 4 0.28582 0.19377
11 112 5 24 0 1 6 5 0.11233 0.13051
11 112 5 25 0 1 6 3 0.23732 0.14575
11 112 6 26 1 0 2 5 0.44693 0.20438
11 112 6 27 1 0 2 7 0.20869 0.10727
11 112 6 28 1 0 2 7 0.18355 0.10638
11 112 6 29 1 0 2 6 0.34784 0.18377
11 112 6 30 1 0 2 4 0.40688 0.27025
11 112 7 31 0 0 5 2 0.50613 0.33996
11 112 7 32 0 0 5 6 0.27764 0.17684
11 112 7 33 0 0 5 7 0.138 0.11161
11 112 7 34 0 0 5 6 0.10817 0.093409
11 112 7 35 0 0 5 5 0.20165 0.17005
11 112 8 36 1 1 1 6 0.20614 0.1468
11 112 8 37 1 1 1 7 0.26648 0.29256
11 112 8 38 1 1 1 6 0.30675 0.18975
11 112 8 39 1 1 1 5 0.37111 0.19622
11 112 8 40 1 1 1 5 0.28633 0.23696
