PairNumber ParticipantNumber BlockNumber TrialNumber ExperimentalCondition PartPerformed ToneSequence JointAgencyRatings MeanSynchronizationPerformance SDSynchronizationPerformance
10 101 1 1 1 1 3 3 0.48727 0.32324
10 101 1 2 1 1 3 3 0.6099 0.45674
10 101 1 3 1 1 3 3 0.36568 0.2857
10 101 1 4 1 1 3 3 0.24664 0.22135
10 101 1 5 1 1 3 5 0.3022 0.28426
10 101 2 6 0 0 7 1 0.16189 0.087873
10 101 2 7 0 0 7 1 0.36916 0.17838
10 101 2 8 0 0 7 3 0.41114 0.30054
10 101 2 9 0 0 7 2 0.31021 0.18645
10 101 2 10 0 0 7 1 0.44591 0.28538
10 101 3 11 1 0 4 1 0.61422 0.5327
10 101 3 12 1 0 4 2 0.38093 0.35891
10 101 3 13 1 0 4 1 1.2559 1.9055
10 101 3 14 1 0 4 3 0.36803 0.26515
10 101 3 15 1 0 4 2 0.59677 0.37209
10 101 4 16 0 1 8 2 0.11481 0.077698
10 101 4 17 0 1 8 4 0.3549 0.22384
10 101 4 18 0 1 8 5 1.1084 0.46384
10 101 4 19 0 1 8 5 0.32662 0.35257
10 101 4 20 0 1 8 6 0.24444 0.20507
10 101 5 21 1 1 2 2 2.3573 1.191
10 101 5 22 1 1 2 2 0.61147 0.54352
10 101 5 23 1 1 2 5 0.96262 0.53832
10 101 5 24 1 1 2 4 0.36582 0.25963
10 101 5 25 1 1 2 2 0.70544 0.45287
10 101 6 26 0 0 6 4 0.97691 0.56582
10 101 6 27 0 0 6 6 0.22734 0.21404
10 101 6 28 0 0 6 5 0.57206 0.51422
10 101 6 29 0 0 6 4 0.1808 0.17618
10 101 6 30 0 0 6 3 0.15572 0.1615
10 101 7 31 1 0 1 1 0.80683 0.39032
10 101 7 32 1 0 1 2 0.87572 0.46756
10 101 7 33 1 0 1 2 1.509 1.1441
10 101 7 34 1 0 1 3 0.9433 0.86012
10 101 7 35 1 0 1 6 0.24966 0.11215
10 101 8 36 0 1 5 3 0.17294 0.17576
10 101 8 37 0 1 5 4 0.27946 0.11205
10 101 8 38 0 1 5 5 0.22686 0.18694
10 101 8 39 0 1 5 6 0.22472 0.1676
10 101 8 40 0 1 5 6 0.43929 0.27524
10 102 1 1 1 0 3 2 0.48727 0.32324
10 102 1 2 1 0 3 2 0.6099 0.45674
10 102 1 3 1 0 3 3 0.36568 0.2857
10 102 1 4 1 0 3 4 0.24664 0.22135
10 102 1 5 1 0 3 4 0.3022 0.28426
10 102 2 6 0 1 7 2 0.16189 0.087873
10 102 2 7 0 1 7 2 0.36916 0.17838
10 102 2 8 0 1 7 2 0.41114 0.30054
10 102 2 9 0 1 7 3 0.31021 0.18645
10 102 2 10 0 1 7 2 0.44591 0.28538
10 102 3 11 1 1 4 2 0.61422 0.5327
10 102 3 12 1 1 4 2 0.38093 0.35891
10 102 3 13 1 1 4 1 1.2559 1.9055
10 102 3 14 1 1 4 2 0.36803 0.26515
10 102 3 15 1 1 4 2 0.59677 0.37209
10 102 4 16 0 0 8 3 0.11481 0.077698
10 102 4 17 0 0 8 2 0.3549 0.22384
10 102 4 18 0 0 8 1 1.1084 0.46384
10 102 4 19 0 0 8 2 0.32662 0.35257
10 102 4 20 0 0 8 2 0.24444 0.20507
10 102 5 21 1 0 2 1 2.3573 1.191
10 102 5 22 1 0 2 2 0.61147 0.54352
10 102 5 23 1 0 2 2 0.96262 0.53832
10 102 5 24 1 0 2 3 0.36582 0.25963
10 102 5 25 1 0 2 2 0.70544 0.45287
10 102 6 26 0 1 6 1 0.97691 0.56582
10 102 6 27 0 1 6 2 0.22734 0.21404
10 102 6 28 0 1 6 2 0.57206 0.51422
10 102 6 29 0 1 6 3 0.1808 0.17618
10 102 6 30 0 1 6 3 0.15572 0.1615
10 102 7 31 1 1 1 1 0.80683 0.39032
10 102 7 32 1 1 1 2 0.87572 0.46756
10 102 7 33 1 1 1 1 1.509 1.1441
10 102 7 34 1 1 1 2 0.9433 0.86012
10 102 7 35 1 1 1 3 0.24966 0.11215
10 102 8 36 0 0 5 2 0.17294 0.17576
10 102 8 37 0 0 5 1 0.27946 0.11205
10 102 8 38 0 0 5 2 0.22686 0.18694
10 102 8 39 0 0 5 3 0.22472 0.1676
10 102 8 40 0 0 5 1 0.43929 0.27524
