PairNumber ParticipantNumber BlockNumber TrialNumber ExperimentalCondition PartPerformed ToneSequence JointAgencyRatings MeanSynchronizationPerformance SDSynchronizationPerformance
15 151 1 1 0 0 8 4 0.16306 0.13466
15 151 1 2 0 0 8 5 0.22087 0.16098
15 151 1 3 0 0 8 5 0.27165 0.17453
15 151 1 4 0 0 8 4 0.90277 0.5777
15 151 1 5 0 0 8 5 1.4998 0.71938
15 151 2 6 1 1 4 7 0.093267 0.089499
15 151 2 7 1 1 4 5 0.78704 0.42466
15 151 2 8 1 1 4 6 0.20654 0.19229
15 151 2 9 1 1 4 5 0.63932 0.41483
15 151 2 10 1 1 4 6 0.23141 0.28177
15 151 3 11 0 1 5 6 0.70379 0.1223
15 151 3 12 0 1 5 4 0.75466 0.45628
15 151 3 13 0 1 5 5 0.26671 0.25442
15 151 3 14 0 1 5 7 0.12244 0.10159
15 151 3 15 0 1 5 5 0.22763 0.26645
15 151 4 16 1 0 1 7 0.21487 0.16393
15 151 4 17 1 0 1 7 0.20341 0.11828
15 151 4 18 1 0 1 5 0.25237 0.16775
15 151 4 19 1 0 1 6 0.28529 0.15789
15 151 4 20 1 0 1 7 0.19623 0.14256
15 151 5 21 0 0 7 4 0.68601 0.48926
15 151 5 22 0 0 7 4 0.87417 0.37308
15 151 5 23 0 0 7 5 0.36241 0.13392
15 151 5 24 0 0 7 4 0.70423 0.32728
15 151 5 25 0 0 7 5 0.31848 0.16734
15 151 6 26 1 1 3 7 0.10143 0.071768
15 151 6 27 1 1 3 6 0.22818 0.2963
15 151 6 28 1 1 3 6 0.26168 0.14689
15 151 6 29 1 1 3 7 0.1335 0.12916
15 151 6 30 1 1 3 6 0.17123 0.12291
15 151 7 31 0 1 6 7 0.12417 0.075566
15 151 7 32 0 1 6 4 0.98632 0.63026
15 151 7 33 0 1 6 7 0.10461 0.094673
15 151 7 34 0 1 6 6 0.18867 0.15391
15 151 7 35 0 1 6 4 0.52382 0.31046
15 151 8 36 1 0 2 4 0.5195 0.34188
15 151 8 37 1 0 2 3 0.89433 0.46119
15 151 8 38 1 0 2 5 0.29632 0.24447
15 151 8 39 1 0 2 4 0.56982 0.27575
15 151 8 40 1 0 2 4 0.65741 0.47726
15 152 1 1 0 1 8 3 0.16306 0.13466
15 152 1 2 0 1 8 2 0.22087 0.16098
15 152 1 3 0 1 8 2 0.27165 0.17453
15 152 1 4 0 1 8 2 0.90277 0.5777
15 152 1 5 0 1 8 4 1.4998 0.71938
15 152 2 6 1 0 4 5 0.093267 0.089499
15 152 2 7 1 0 4 4 0.78704 0.42466
15 152 2 8 1 0 4 6 0.20654 0.19229
15 152 2 9 1 0 4 7 0.63932 0.41483
15 152 2 10 1 0 4 6 0.23141 0.28177
15 152 3 11 0 0 5 2 0.70379 0.1223
15 152 3 12 0 0 5 3 0.75466 0.45628
15 152 3 13 0 0 5 5 0.26671 0.25442
15 152 3 14 0 0 5 6 0.12244 0.10159
15 152 3 15 0 0 5 6 0.22763 0.26645
15 152 4 16 1 1 1 5 0.21487 0.16393
15 152 4 17 1 1 1 6 0.20341 0.11828
15 152 4 18 1 1 1 6 0.25237 0.16775
15 152 4 19 1 1 1 7 0.28529 0.15789
15 152 4 20 1 1 1 7 0.19623 0.14256
15 152 5 21 0 1 7 4 0.68601 0.48926
15 152 5 22 0 1 7 3 0.87417 0.37308
15 152 5 23 0 1 7 4 0.36241 0.13392
15 152 5 24 0 1 7 5 0.70423 0.32728
15 152 5 25 0 1 7 4 0.31848 0.16734
15 152 6 26 1 0 3 5 0.10143 0.071768
15 152 6 27 1 0 3 5 0.22818 0.2963
15 152 6 28 1 0 3 5 0.26168 0.14689
15 152 6 29 1 0 3 6 0.1335 0.12916
15 152 6 30 1 0 3 6 0.17123 0.12291
15 152 7 31 0 0 6 5 0.12417 0.075566
15 152 7 32 0 0 6 4 0.98632 0.63026
15 152 7 33 0 0 6 6 0.10461 0.094673
15 152 7 34 0 0 6 5 0.18867 0.15391
15 152 7 35 0 0 6 3 0.52382 0.31046
15 152 8 36 1 1 2 5 0.5195 0.34188
15 152 8 37 1 1 2 4 0.89433 0.46119
15 152 8 38 1 1 2 5 0.29632 0.24447
15 152 8 39 1 1 2 6 0.56982 0.27575
15 152 8 40 1 1 2 5 0.65741 0.47726
