PairNumber ParticipantNumber BlockNumber TrialNumber ExperimentalCondition PartPerformed ToneSequence JointAgencyRatings MeanSynchronizationPerformance SDSynchronizationPerformance
9 91 1 1 1 0 3 4 0.11692 0.10027
9 91 1 2 1 0 3 2 0.32863 0.17144
9 91 1 3 1 0 3 6 0.16356 0.13908
9 91 1 4 1 0 3 5 0.1375 0.12576
9 91 1 5 1 0 3 6 0.096487 0.10647
9 91 2 6 0 1 7 4 0.17414 0.097461
9 91 2 7 0 1 7 3 0.38172 0.27922
9 91 2 8 0 1 7 5 0.12578 0.13095
9 91 2 9 0 1 7 4 0.20284 0.16582
9 91 2 10 0 1 7 3 0.47481 0.31884
9 91 3 11 1 1 4 4 0.24925 0.13524
9 91 3 12 1 1 4 3 0.31734 0.13909
9 91 3 13 1 1 4 4 0.4963 0.31091
9 91 3 14 1 1 4 5 0.18622 0.14696
9 91 3 15 1 1 4 2 0.38002 0.33524
9 91 4 16 0 0 8 4 0.16499 0.13626
9 91 4 17 0 0 8 3 0.28051 0.22026
9 91 4 18 0 0 8 3 0.24294 0.22199
9 91 4 19 0 0 8 4 0.10152 0.099421
9 91 4 20 0 0 8 4 0.1139 0.085886
9 91 5 21 1 0 2 4 0.15843 0.084038
9 91 5 22 1 0 2 5 0.085662 0.074669
9 91 5 23 1 0 2 6 0.12293 0.070334
9 91 5 24 1 0 2 5 0.099957 0.069727
9 91 5 25 1 0 2 4 0.18242 0.096227
9 91 6 26 0 1 6 5 0.098854 0.069409
9 91 6 27 0 1 6 4 0.2912 0.19869
9 91 6 28 0 1 6 4 0.1437 0.14176
9 91 6 29 0 1 6 4 0.19706 0.10014
9 91 6 30 0 1 6 3 0.21887 0.24406
9 91 7 31 1 1 1 4 0.17596 0.15165
9 91 7 32 1 1 1 4 0.16277 0.1596
9 91 7 33 1 1 1 2 0.43191 0.41597
9 91 7 34 1 1 1 1 0.68203 0.63565
9 91 7 35 1 1 1 3 0.288 0.29513
9 91 8 36 0 0 5 4 0.13744 0.12027
9 91 8 37 0 0 5 6 0.077215 0.070177
9 91 8 38 0 0 5 4 0.13611 0.078794
9 91 8 39 0 0 5 2 0.40943 0.31852
9 91 8 40 0 0 5 1 0.25452 0.19688
9 92 1 1 1 1 3 5 0.11692 0.10027
9 92 1 2 1 1 3 4 0.32863 0.17144
9 92 1 3 1 1 3 6 0.16356 0.13908
9 92 1 4 1 1 3 5 0.1375 0.12576
9 92 1 5 1 1 3 6 0.096487 0.10647
9 92 2 6 0 0 7 4 0.17414 0.097461
9 92 2 7 0 0 7 5 0.38172 0.27922
9 92 2 8 0 0 7 6 0.12578 0.13095
9 92 2 9 0 0 7 4 0.20284 0.16582
9 92 2 10 0 0 7 4 0.47481 0.31884
9 92 3 11 1 0 4 3 0.24925 0.13524
9 92 3 12 1 0 4 3 0.31734 0.13909
9 92 3 13 1 0 4 4 0.4963 0.31091
9 92 3 14 1 0 4 5 0.18622 0.14696
9 92 3 15 1 0 4 3 0.38002 0.33524
9 92 4 16 0 1 8 5 0.16499 0.13626
9 92 4 17 0 1 8 3 0.28051 0.22026
9 92 4 18 0 1 8 3 0.24294 0.22199
9 92 4 19 0 1 8 5 0.10152 0.099421
9 92 4 20 0 1 8 6 0.1139 0.085886
9 92 5 21 1 1 2 6 0.15843 0.084038
9 92 5 22 1 1 2 7 0.085662 0.074669
9 92 5 23 1 1 2 7 0.12293 0.070334
9 92 5 24 1 1 2 7 0.099957 0.069727
9 92 5 25 1 1 2 6 0.18242 0.096227
9 92 6 26 0 0 6 6 0.098854 0.069409
9 92 6 27 0 0 6 5 0.2912 0.19869
9 92 6 28 0 0 6 4 0.1437 0.14176
9 92 6 29 0 0 6 5 0.19706 0.10014
9 92 6 30 0 0 6 6 0.21887 0.24406
9 92 7 31 1 0 1 6 0.17596 0.15165
9 92 7 32 1 0 1 7 0.16277 0.1596
9 92 7 33 1 0 1 4 0.43191 0.41597
9 92 7 34 1 0 1 3 0.68203 0.63565
9 92 7 35 1 0 1 4 0.288 0.29513
9 92 8 36 0 1 5 6 0.13744 0.12027
9 92 8 37 0 1 5 7 0.077215 0.070177
9 92 8 38 0 1 5 6 0.13611 0.078794
9 92 8 39 0 1 5 4 0.40943 0.31852
9 92 8 40 0 1 5 3 0.25452 0.19688
