PairNumber ParticipantNumber BlockNumber TrialNumber ExperimentalCondition PartPerformed ToneSequence JointAgencyRatings MeanSynchronizationPerformance SDSynchronizationPerformance
22 221 1 1 1 1 2 4 0.19873 0.12285
22 221 1 2 1 1 2 4 0.13599 0.10252
22 221 1 3 1 1 2 5 0.18607 0.16789
22 221 1 4 1 1 2 5 0.1675 0.086758
22 221 1 5 1 1 2 6 0.080872 0.078895
22 221 2 6 0 0 6 2 0.2576 0.17245
22 221 2 7 0 0 6 2 0.32978 0.36304
22 221 2 8 0 0 6 3 0.1424 0.10107
22 221 2 9 0 0 6 4 0.12369 0.1124
22 221 2 10 0 0 6 3 0.11723 0.10743
22 221 3 11 1 0 3 4 0.17669 0.1257
22 221 3 12 1 0 3 4 0.18943 0.1915
22 221 3 13 1 0 3 2 0.35967 0.28139
22 221 3 14 1 0 3 4 0.1978 0.11552
22 221 3 15 1 0 3 4 0.22572 0.22675
22 221 4 16 0 1 7 3 0.20045 0.18319
22 221 4 17 0 1 7 5 0.14019 0.11139
22 221 4 18 0 1 7 2 0.45634 0.18929
22 221 4 19 0 1 7 5 0.078563 0.047499
22 221 4 20 0 1 7 4 0.089756 0.069877
22 221 5 21 1 1 1 4 0.14693 0.099313
22 221 5 22 1 1 1 6 0.1412 0.13932
22 221 5 23 1 1 1 5 0.21175 0.10105
22 221 5 24 1 1 1 6 0.10329 0.099303
22 221 5 25 1 1 1 4 0.2271 0.18764
22 221 6 26 0 0 5 4 0.12932 0.094274
22 221 6 27 0 0 5 4 0.14923 0.10216
22 221 6 28 0 0 5 3 0.17076 0.08704
22 221 6 29 0 0 5 4 0.20353 0.16554
22 221 6 30 0 0 5 5 0.12071 0.05057
22 221 7 31 1 0 4 4 0.17444 0.10647
22 221 7 32 1 0 4 3 0.26998 0.17124
22 221 7 33 1 0 4 5 0.26633 0.12611
22 221 7 34 1 0 4 5 0.33134 0.17606
22 221 7 35 1 0 4 4 0.21852 0.10268
22 221 8 36 0 1 8 4 0.15819 0.069646
22 221 8 37 0 1 8 4 0.16745 0.12913
22 221 8 38 0 1 8 3 0.26384 0.15398
22 221 8 39 0 1 8 5 0.088711 0.074725
22 221 8 40 0 1 8 4 0.13831 0.10181
22 222 1 1 1 0 2 6 0.19873 0.12285
22 222 1 2 1 0 2 6 0.13599 0.10252
22 222 1 3 1 0 2 6 0.18607 0.16789
22 222 1 4 1 0 2 5 0.1675 0.086758
22 222 1 5 1 0 2 6 0.080872 0.078895
22 222 2 6 0 1 6 5 0.2576 0.17245
22 222 2 7 0 1 6 5 0.32978 0.36304
22 222 2 8 0 1 6 6 0.1424 0.10107
22 222 2 9 0 1 6 5 0.12369 0.1124
22 222 2 10 0 1 6 6 0.11723 0.10743
22 222 3 11 1 1 3 6 0.17669 0.1257
22 222 3 12 1 1 3 6 0.18943 0.1915
22 222 3 13 1 1 3 6 0.35967 0.28139
22 222 3 14 1 1 3 5 0.1978 0.11552
22 222 3 15 1 1 3 6 0.22572 0.22675
22 222 4 16 0 0 7 5 0.20045 0.18319
22 222 4 17 0 0 7 5 0.14019 0.11139
22 222 4 18 0 0 7 4 0.45634 0.18929
22 222 4 19 0 0 7 6 0.078563 0.047499
22 222 4 20 0 0 7 6 0.089756 0.069877
22 222 5 21 1 0 1 6 0.14693 0.099313
22 222 5 22 1 0 1 6 0.1412 0.13932
22 222 5 23 1 0 1 5 0.21175 0.10105
22 222 5 24 1 0 1 6 0.10329 0.099303
22 222 5 25 1 0 1 5 0.2271 0.18764
22 222 6 26 0 1 5 5 0.12932 0.094274
22 222 6 27 0 1 5 5 0.14923 0.10216
22 222 6 28 0 1 5 6 0.17076 0.08704
22 222 6 29 0 1 5 5 0.20353 0.16554
22 222 6 30 0 1 5 4 0.12071 0.05057
22 222 7 31 1 1 4 6 0.17444 0.10647
22 222 7 32 1 1 4 5 0.26998 0.17124
22 222 7 33 1 1 4 5 0.26633 0.12611
22 222 7 34 1 1 4 6 0.33134 0.17606
22 222 7 35 1 1 4 5 0.21852 0.10268
22 222 8 36 0 0 8 4 0.15819 0.069646
22 222 8 37 0 0 8 4 0.16745 0.12913
22 222 8 38 0 0 8 5 0.26384 0.15398
22 222 8 39 0 0 8 5 0.088711 0.074725
22 222 8 40 0 0 8 5 0.13831 0.10181
